,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.86,1.0,0.87,0.49,0.92,1.0,0.64,0.98,0.64,0.77,0.99,0.86,0.66,1.0,0.64
aufs.csv,0.8,0.72,0.84,0.74,0.98,0.87,0.92,0.97,0.43,0.8,0.7,0.62,0.87,0.69,0.89
bulmages.csv,1.0,0.84,0.93,0.74,0.78,0.88,0.91,1.0,1.0,0.46,0.45,1.0,0.46,0.94,1.0
coot.csv,1.0,0.8,0.81,0.94,0.91,0.75,0.82,0.92,0.73,0.61,0.71,0.8,0.43,0.63,0.59
emono.csv,0.64,0.86,0.68,0.85,0.8,0.99,0.79,0.67,0.93,0.79,0.82,0.93,0.61,0.9,0.51
extprosys.csv,0.94,0.49,1.0,0.72,0.93,0.88,0.78,0.72,0.92,0.67,0.88,0.64,0.83,0.71,0.72
freelords.csv,0.71,0.68,0.92,0.88,0.82,0.78,0.53,0.58,0.63,0.57,0.51,0.8,0.58,0.81,0.87
jnode.csv,0.75,0.95,0.89,0.74,0.95,0.27,0.94,0.78,1.0,0.7,1.0,0.97,0.52,0.97,0.96
jruby.csv,0.72,0.94,0.69,1.0,0.81,0.9,0.74,0.55,1.0,0.99,0.83,0.91,0.97,0.7,0.88
jsecurity.csv,0.84,0.76,0.93,0.96,0.39,0.59,0.88,0.76,0.84,0.86,0.83,0.88,0.53,0.83,0.62
matrex.csv,0.7,0.91,0.9,0.68,0.9,0.76,0.96,0.56,0.84,1.0,0.24,0.85,0.93,0.81,0.81
officefloor.csv,0.55,0.78,0.85,0.95,0.85,0.56,0.92,0.47,0.57,0.7,0.64,0.76,0.65,0.76,0.52
projectfactory.csv,0.67,0.94,0.77,0.87,0.67,0.59,0.73,0.67,0.41,0.95,0.7,0.54,0.92,0.78,0.73
taverna.csv,0.7,0.91,0.36,1.0,0.9,0.82,0.98,1.0,1.0,0.77,1.0,0.72,0.52,0.97,0.74
vxl.csv,0.61,0.71,0.87,0.85,0.61,0.68,0.65,0.54,0.85,0.8,0.76,0.61,0.84,0.8,0.63
