,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.95,1.0,0.63,0.8,0.95,0.94,0.59,1.0,0.81,0.81,0.93,0.92,0.9,0.98,0.84
aufs.csv,0.22,0.45,0.19,0.84,0.15,0.38,0.59,0.13,0.62,0.24,0.74,0.56,0.15,0.38,0.11
bulmages.csv,0.0,0.19,0.07,0.84,0.33,0.12,0.09,0.0,0.0,0.71,0.68,0.0,0.7,0.06,0.0
coot.csv,0.0,0.26,0.48,1.0,0.59,0.5,0.54,0.34,0.54,0.57,0.67,0.62,0.72,0.53,0.52
emono.csv,0.68,0.75,0.59,0.82,0.67,0.88,0.75,0.68,0.95,0.86,0.89,0.95,0.68,0.88,0.66
extprosys.csv,1.0,0.6,1.0,0.34,0.85,0.56,0.77,0.84,0.08,0.76,0.86,0.64,0.52,0.67,0.49
freelords.csv,0.54,0.38,1.0,0.73,0.92,0.88,0.61,0.89,0.65,0.67,0.73,0.33,0.8,0.5,0.69
jnode.csv,0.32,0.06,0.11,0.34,0.05,0.81,0.08,0.24,0.0,0.33,0.0,0.03,0.65,0.03,0.04
jruby.csv,0.65,0.06,0.89,1.0,0.9,0.88,0.35,0.55,1.0,1.0,0.96,0.9,0.02,0.71,0.12
jsecurity.csv,0.16,0.25,0.07,0.05,0.69,0.75,0.13,0.26,0.24,0.14,0.22,0.13,0.57,0.36,0.42
matrex.csv,0.43,0.09,0.11,0.55,0.1,0.31,0.04,0.45,0.16,0.0,0.84,0.18,0.08,0.19,0.2
officefloor.csv,0.51,0.3,0.22,0.05,0.15,0.62,0.09,0.61,0.51,0.43,0.4,0.31,0.45,0.4,0.52
projectfactory.csv,0.54,0.06,0.26,0.14,0.33,0.5,0.34,0.37,0.62,0.05,0.33,0.67,0.12,0.48,0.35
taverna.csv,0.35,0.09,0.7,0.0,0.1,0.19,0.03,0.0,0.0,0.24,0.0,0.54,0.52,0.03,0.31
vxl.csv,0.49,0.66,0.19,0.16,0.67,0.69,0.38,0.74,1.0,0.48,0.92,0.51,0.18,0.68,0.39
