,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.71,0.7,0.6,0.47,0.58,0.83,0.62,0.61,0.42,0.54,0.74,0.7,0.05,0.31,0.64
bl-toolkit.csv,0.71,0.75,0.67,0.69,0.65,0.0,0.93,0.79,0.59,0.69,0.56,0.67,0.62,0.35,0.63
bochs.csv,0.84,0.84,0.8,0.65,0.07,0.87,0.82,0.55,0.52,0.87,0.73,0.87,0.6,0.83,0.5
emeraldemu.csv,0.63,0.78,0.72,0.08,0.6,0.93,0.54,0.64,0.57,0.47,0.62,0.77,0.56,0.71,0.73
fbmanager.csv,0.09,0.5,0.68,0.56,0.94,0.79,0.64,0.52,0.57,0.46,0.57,0.65,0.6,0.6,0.62
modellus.csv,0.86,0.72,0.8,0.76,0.83,0.71,0.48,0.82,0.65,0.82,0.86,0.08,0.58,0.56,0.67
openmalaria.csv,0.5,0.51,0.51,0.54,0.57,0.63,0.47,0.48,0.55,0.55,0.1,0.59,0.55,0.54,0.32
pi-qmc.csv,0.78,0.62,0.59,0.47,0.66,0.63,0.85,0.62,0.55,0.51,0.56,0.56,0.5,0.48,0.05
plplot.csv,0.64,0.57,0.68,0.67,0.63,0.7,0.93,0.71,0.52,0.05,0.67,0.52,0.57,0.37,0.76
powerfolder.csv,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.0,1.0
psycle.csv,0.51,0.03,0.67,0.68,0.52,0.61,0.47,0.61,0.57,0.78,0.61,0.62,0.76,0.91,0.89
qgis.csv,0.59,0.67,0.02,0.57,0.63,0.73,0.65,0.49,0.54,0.6,0.57,0.43,0.55,0.71,0.4
sbml.csv,0.53,0.52,0.6,0.54,0.56,0.81,0.4,0.05,0.59,0.6,0.61,0.65,0.59,0.69,0.41
unimrcp.csv,0.88,0.81,0.89,0.64,0.89,0.96,0.0,0.86,0.73,0.91,0.9,0.72,0.67,1.0,0.86
wow-qrsk.csv,0.9,0.69,0.72,0.57,0.85,0.7,0.75,0.91,0.04,0.71,0.62,0.66,0.59,0.45,0.95
