,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv
fceugc.csv,0.63,0.4,0.46,0.68,0.55,0.24,0.53
flexpay.csv,0.32,0.52,0.48,0.12,0.07,0.54,0.48
modellus.csv,0.31,0.59,0.57,0.43,0.53,0.78,0.73
open-data-kit.csv,0.44,0.62,0.55,0.64,0.33,0.68,0.76
phet.csv,0.64,0.42,0.16,0.31,0.28,0.29,0.34
qtractor.csv,0.35,0.66,0.57,0.6,0.58,0.72,0.67
sumatrapdf.csv,0.37,0.71,0.13,0.6,0.78,0.61,0.48
