,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.35,0.19,0.59,0.39,0.44,0.55,0.12,0.63,0.61,0.3
fritzing.csv,0.69,0.74,0.75,0.65,0.83,0.71,0.24,0.34,0.67,0.5
jlinalg.csv,0.75,0.17,0.36,0.59,0.49,0.72,0.44,0.54,0.48,0.53
knowledge.csv,0.78,0.7,0.67,0.54,0.91,0.63,0.24,0.6,0.62,0.64
massiv.csv,0.17,0.3,0.36,0.0,0.0,0.99,0.0,0.63,0.0,0.0
multitude.csv,0.73,0.56,0.68,0.61,0.67,0.65,0.47,0.75,0.6,0.71
playerstage.csv,0.65,0.61,0.72,0.72,0.74,0.71,0.12,0.7,0.48,0.57
quarkplusplus.csv,0.72,0.63,0.61,0.53,0.58,0.75,0.12,0.53,0.6,0.54
rtrt-on-gpu.csv,0.47,0.37,0.44,0.53,0.52,0.27,0.64,0.0,0.35,0.52
superwaba.csv,0.37,0.68,0.65,0.54,0.64,0.69,0.53,0.71,0.33,0.56
