,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,0.61,0.67,0.4,0.68,0.62,0.65,0.73,0.66,0.7,0.37,0.0,0.49,0.69,0.68,0.59,0.62,0.63
biopax.csv,0.48,0.0,0.0,0.0,0.21,0.58,0.0,0.36,0.33,0.0,0.0,0.0,0.49,0.05,0.0,0.84,0.0
ffigo.csv,0.0,0.22,0.0,0.38,0.06,0.01,0.0,0.0,0.09,0.23,0.0,0.18,0.76,0.0,0.54,0.36,0.05
freebios.csv,0.39,0.36,0.81,0.23,0.33,0.29,0.43,0.46,0.4,0.4,0.59,0.47,0.52,0.23,0.48,0.43,0.18
glelite.csv,0.09,0.13,0.3,0.59,0.09,0.33,0.09,0.09,0.54,0.17,0.09,0.97,0.09,0.05,0.57,0.61,0.13
gnupdate.csv,0.45,0.33,0.38,0.64,0.85,0.5,0.51,0.51,0.56,0.18,0.0,0.29,0.56,0.36,0.34,0.48,0.58
go.csv,0.74,0.59,0.46,0.5,0.81,0.58,0.8,0.73,0.73,0.47,0.14,0.58,0.64,0.62,0.56,0.65,0.52
gstreamer.csv,0.72,0.53,0.41,0.42,0.62,0.5,0.68,0.61,0.63,0.29,0.59,0.5,0.46,0.71,0.54,0.61,0.0
metacosm.csv,0.27,0.63,0.12,0.67,0.12,0.16,0.48,0.53,0.5,0.38,0.42,0.44,0.4,0.36,0.53,0.57,0.75
pcsx2.csv,0.69,0.57,0.49,0.62,0.71,0.58,0.71,0.47,0.72,0.51,0.0,0.29,0.13,0.66,0.46,0.53,0.68
pgui.csv,0.06,0.0,0.36,0.53,0.8,0.0,0.69,0.7,0.07,0.18,0.0,0.0,0.06,0.0,0.47,0.46,0.0
qse.csv,0.32,0.42,0.14,0.61,0.24,0.21,0.83,0.45,0.5,0.33,0.28,0.41,0.24,0.29,0.39,0.75,0.67
rebecca-aiml.csv,0.7,0.65,0.43,0.69,0.45,0.55,0.64,0.61,0.63,0.87,0.79,0.55,0.67,0.62,0.56,0.55,0.37
skia.csv,0.58,0.59,0.15,0.59,0.29,0.59,0.45,0.51,0.37,0.2,0.84,0.31,0.48,0.31,0.67,0.21,0.48
vars-redux.csv,0.58,0.66,0.61,0.75,0.45,0.47,0.64,0.2,0.64,0.05,0.72,0.0,0.56,0.55,0.55,0.48,0.72
wxjs.csv,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.4,0.95,0.18,0.0,0.01,0.16,0.04,0.0
yale.csv,0.0,0.52,0.72,0.44,0.05,0.13,0.46,0.38,0.37,0.64,0.29,0.0,0.43,0.37,0.49,0.33,0.34
