,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.49,0.02,0.45,0.12,0.2,0.47,0.33,0.38,0.41,0.37,0.65,0.11
freedom-erp.csv,0.02,0.0,0.05,0.0,0.09,0.0,0.03,0.03,0.02,0.03,0.0,0.0
javaprofiler.csv,0.63,0.73,0.45,0.53,0.51,0.87,0.3,0.34,0.37,0.37,0.98,0.0
jmoney.csv,0.02,0.16,0.15,0.11,0.63,0.03,0.23,0.21,0.13,0.5,0.02,0.06
jsidplay2.csv,0.37,0.35,0.0,0.3,0.74,0.12,0.83,0.4,0.54,0.7,0.16,0.58
reaper3d.csv,0.59,0.0,0.6,0.76,0.03,0.0,0.43,0.0,0.63,0.3,0.0,0.39
servicestack.csv,0.15,0.2,0.0,0.1,0.25,0.18,0.37,0.26,0.0,0.33,0.05,0.14
springside.csv,0.68,0.73,0.25,0.02,0.68,0.68,0.61,0.83,0.61,0.83,0.72,0.44
swtfox.csv,0.34,0.43,0.6,0.8,0.0,0.62,0.11,0.5,0.67,0.27,0.86,0.61
synecdoche.csv,0.24,0.43,0.2,0.12,0.38,0.18,0.93,0.95,0.24,0.6,0.0,0.36
tmva.csv,0.46,0.71,0.3,0.64,0.62,0.0,0.99,0.64,0.74,0.67,0.37,0.78
wsmt.csv,0.2,0.37,0.4,0.31,0.05,0.37,0.13,0.0,0.28,0.0,0.58,0.25
