,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.59,0.54,0.81,0.93,0.82,0.67,0.74,0.67,0.92,0.53,0.55,0.84
freedom-erp.csv,0.5,0.0,0.85,0.0,0.86,0.0,0.41,0.67,0.0,0.0,0.0,0.0
javaprofiler.csv,0.42,0.47,0.66,0.53,0.49,0.5,0.95,0.76,0.81,0.62,0.38,0.48
jmoney.csv,0.48,0.75,0.55,0.67,0.39,0.8,0.55,0.6,0.7,0.43,0.5,0.91
jsidplay2.csv,0.36,0.95,0.41,0.62,0.47,0.97,0.33,0.55,0.57,0.48,0.94,0.5
reaper3d.csv,0.62,0.0,0.58,0.69,0.92,0.0,0.63,0.86,0.74,0.87,0.0,0.62
servicestack.csv,0.91,0.79,0.92,0.68,0.7,0.72,0.56,0.69,0.77,0.69,0.5,0.8
springside.csv,0.31,0.39,0.39,0.62,0.4,0.39,0.3,0.36,0.42,0.36,0.38,0.45
swtfox.csv,0.93,0.54,0.96,0.62,0.74,0.56,0.93,0.6,0.57,0.76,0.42,0.58
synecdoche.csv,0.61,0.57,0.47,0.87,0.6,0.62,0.31,0.36,0.63,0.48,0.64,0.54
tmva.csv,0.5,0.44,0.54,0.49,0.48,0.52,0.31,0.42,0.49,0.44,0.56,0.52
wsmt.csv,0.89,0.53,0.9,0.9,0.88,0.72,0.89,0.0,0.75,0.62,0.54,0.63
