,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv,nabu-library.csv
autoopencas.csv,0.4,0.41,0.63,0.14,0.42
nabu-library.csv,0.16,0.24,0.42,0.27,0.82
pcgen.csv,0.69,0.65,0.43,0.46,0.68
selenium.csv,0.7,0.49,0.38,0.55,0.39
tolven.csv,0.59,0.64,0.0,0.64,0.04
