,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.99,0.59,0.92,0.68,0.8,0.63,0.64,0.44,0.87,0.93,0.6,0.9,0.64,0.94,1.0,0.7,0.9
blogentis.csv,0.64,0.42,0.58,0.48,0.44,0.61,0.47,0.86,0.65,0.35,0.5,0.62,0.34,0.38,0.94,0.48,0.37
bochs.csv,0.51,0.33,0.45,0.53,0.42,0.48,0.49,0.37,0.65,0.53,0.35,0.43,0.41,0.45,0.58,0.38,0.59
galaxium.csv,0.62,0.39,0.39,0.49,0.43,0.95,0.54,0.98,0.56,0.33,0.41,0.42,0.3,0.5,0.61,0.42,0.47
gisgraphy.csv,0.98,0.44,0.45,0.57,0.41,0.58,0.58,0.35,0.79,0.8,0.4,0.61,0.67,0.74,0.99,0.41,0.71
haphazard.csv,0.57,0.31,0.65,0.49,0.42,0.77,0.84,0.98,0.81,0.67,0.83,0.69,0.33,0.71,0.0,0.79,0.81
ipfire-wall.csv,0.49,0.83,0.49,0.66,0.73,0.97,0.42,0.97,0.49,0.35,0.46,0.53,0.32,0.94,0.45,0.52,0.37
jmri.csv,0.95,0.35,0.81,0.57,0.78,0.59,0.41,0.41,0.97,0.62,0.36,0.7,0.58,0.81,0.87,0.46,0.65
jvcl.csv,0.67,0.67,0.68,0.83,0.73,0.93,0.54,0.73,0.92,0.75,0.57,0.92,0.67,0.0,0.63,0.57,0.81
kaffeine.csv,0.34,0.3,0.38,0.39,0.36,0.44,0.33,0.39,0.36,0.31,0.34,0.32,0.28,0.4,0.27,0.32,0.3
m-a-d-n-e-s-s.csv,0.51,0.39,0.92,0.72,0.83,0.95,0.49,0.98,0.91,0.43,0.78,0.53,0.41,0.78,0.38,0.89,0.73
magicwars.csv,0.51,0.31,0.44,0.4,0.4,0.41,0.38,0.72,0.56,0.35,0.37,0.39,0.31,0.37,0.48,0.39,0.29
nh3d.csv,0.83,0.0,0.45,0.87,0.4,0.41,0.38,0.35,0.64,0.35,0.36,0.39,0.31,0.36,0.56,0.39,0.31
opentibia.csv,0.67,0.97,0.45,0.71,0.62,0.49,0.88,0.45,0.99,0.91,0.38,0.71,0.62,0.63,0.98,0.46,0.5
sarasvati.csv,0.46,0.46,0.47,0.6,0.86,0.65,0.57,0.7,0.96,0.45,0.6,0.93,0.56,0.41,0.39,0.8,0.4
smartgwt.csv,0.46,0.45,0.47,0.51,0.44,0.71,0.49,0.41,0.58,0.45,0.37,0.49,0.39,0.47,0.33,0.38,0.3
tweetsharp.csv,0.75,0.95,0.57,0.55,0.71,0.52,0.6,0.37,0.81,0.72,0.42,0.62,0.88,0.58,0.96,0.49,0.53
