,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.49,0.27,0.63,0.29,0.58,0.58,0.42,0.32,0.27,0.75,0.42,0.43,0.26,0.4,0.63,0.17,0.71,0.39
buddata-ebxml-registry.csv,0.27,0.6,0.0,0.17,0.7,0.5,0.56,0.05,0.17,0.33,0.4,0.09,0.0,0.33,0.13,0.17,0.0,0.93
co-ode-owl-plugins.csv,0.64,0.58,0.61,0.67,0.73,0.68,0.65,0.62,0.28,0.75,0.69,0.24,0.63,0.07,0.45,0.28,0.34,0.64
firebreath.csv,0.29,0.56,0.55,0.77,0.52,0.67,0.66,0.59,0.38,0.66,0.52,0.66,0.09,0.41,0.6,0.56,0.5,0.48
gretl.csv,0.27,0.74,0.65,0.71,0.62,0.24,0.52,0.56,0.33,0.69,0.47,0.09,0.68,0.28,0.72,0.62,0.61,0.67
konversation.csv,0.15,0.36,0.4,0.76,0.48,0.41,0.48,0.56,0.22,0.49,0.11,0.57,0.67,0.34,0.47,0.48,0.37,0.22
lazarus-ccr.csv,0.78,0.49,0.0,0.25,0.31,0.49,0.6,0.48,0.6,0.68,0.18,0.64,0.68,0.63,0.0,0.58,0.0,0.62
linuxsh.csv,0.57,0.49,0.72,0.47,0.18,0.61,0.39,0.27,0.0,0.73,0.5,0.46,0.07,0.0,0.18,0.23,0.26,0.61
migen.csv,0.54,0.45,0.53,0.67,0.58,0.65,0.68,0.5,0.0,0.7,0.53,0.63,0.2,0.14,0.55,0.38,0.38,0.41
moviesandbox.csv,0.48,0.55,0.4,0.72,0.54,0.65,0.55,0.61,0.12,0.69,0.58,0.56,0.6,0.07,0.28,0.36,0.22,0.55
mvnforum.csv,0.0,0.23,0.53,0.1,0.47,0.53,0.36,0.37,0.06,0.6,0.62,0.31,0.57,0.46,0.43,0.39,0.46,0.36
ontomorphtab.csv,0.4,0.69,0.21,0.63,0.7,0.6,0.68,0.64,0.54,0.28,0.6,0.66,0.43,0.37,0.7,0.67,0.55,0.62
opengs.csv,0.2,0.24,0.53,0.7,0.66,0.65,0.39,0.54,0.17,0.26,0.77,0.54,0.52,0.0,0.48,0.47,0.44,0.26
plplot.csv,0.17,0.66,0.21,0.61,0.52,0.72,0.65,0.59,0.53,0.38,0.54,0.67,0.5,0.28,0.65,0.69,0.17,0.47
scite-ru.csv,0.27,0.74,0.75,0.63,0.74,0.57,0.56,0.6,0.56,0.63,0.71,0.09,0.37,0.56,0.58,0.71,0.53,0.53
tokratan.csv,0.43,0.35,0.58,0.62,0.61,0.62,0.56,0.34,0.12,0.13,0.51,0.63,0.62,0.14,0.6,0.59,0.45,0.38
vrjuggler.csv,0.2,0.27,0.0,0.0,0.0,0.06,0.04,0.0,0.12,0.2,0.0,0.0,0.13,0.75,0.01,0.0,0.02,0.23
xuggle.csv,0.67,0.5,0.53,0.61,0.76,0.64,0.57,0.58,0.63,0.36,0.75,0.85,0.59,0.22,0.6,0.6,0.64,0.65
