,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.5,0.4,0.01,0.71,0.54,0.52,0.42,0.04,0.23,0.38,0.32,0.48,0.4,0.54
exordium.csv,0.12,0.05,0.05,0.03,0.0,0.13,0.09,0.11,0.17,0.09,0.05,0.05,0.09,0.12
google-caja.csv,0.71,0.02,0.32,0.67,0.34,0.67,0.3,0.0,0.52,0.41,0.5,0.68,0.29,0.6
hydrogen.csv,0.29,0.05,0.35,0.18,0.12,0.33,0.0,0.3,0.31,0.47,0.32,0.31,0.18,0.18
kmess.csv,0.54,0.57,0.56,0.7,0.48,0.19,0.85,0.19,0.03,0.11,0.43,0.65,0.0,0.6
kvs.csv,0.08,0.0,0.33,0.0,0.04,0.26,0.03,0.33,0.07,0.32,0.12,0.24,0.2,0.11
megameknet.csv,0.33,0.48,0.12,0.24,0.36,0.41,0.27,0.15,0.2,0.0,0.52,0.43,0.56,0.21
ns-3-dev-def-routing.csv,0.08,0.5,0.18,0.46,0.34,0.06,0.44,0.15,0.35,0.2,0.06,0.0,0.29,0.16
open-ms.csv,0.33,0.4,0.33,0.21,0.07,0.22,0.39,0.41,0.27,0.13,0.53,0.39,0.38,0.0
openmsx.csv,0.5,0.5,0.43,0.54,0.75,0.8,0.73,0.56,0.71,0.9,0.0,0.58,0.56,0.85
rezilla.csv,0.29,0.0,0.54,0.59,0.38,0.61,0.38,0.52,0.5,0.79,0.55,0.5,0.49,0.51
sauerbraten.csv,0.0,0.4,0.23,0.2,0.43,0.3,0.29,0.33,0.29,0.19,0.26,0.46,0.44,0.36
webdriver.csv,0.38,0.85,0.27,0.21,0.43,0.0,0.51,0.15,0.23,0.18,0.27,0.32,0.45,0.28
yafdotnet.csv,0.67,0.2,0.41,0.47,0.39,0.43,0.52,0.56,0.01,0.36,0.43,0.56,0.6,0.55
