,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.55,0.66,0.04,0.77,0.6,0.62,0.56,0.59,0.71,0.58,0.6,0.64,0.55,0.61
exordium.csv,0.65,0.95,0.85,0.8,0.11,0.64,0.63,0.71,0.62,0.51,0.94,0.75,0.79,0.85
google-caja.csv,0.73,0.84,0.51,0.68,0.54,0.69,0.48,0.0,0.56,0.52,0.68,0.75,0.56,0.63
hydrogen.csv,0.64,1.0,0.73,0.68,0.7,0.71,0.06,0.78,0.65,0.68,0.75,0.7,0.82,0.79
kmess.csv,0.61,0.66,0.62,0.78,0.61,0.8,0.86,0.65,0.92,0.62,0.71,0.66,0.0,0.67
kvs.csv,0.93,0.95,0.75,0.1,1.0,0.93,0.75,0.83,0.89,0.86,0.96,0.83,0.89,0.82
megameknet.csv,0.77,0.83,0.77,0.83,0.59,0.6,0.62,0.76,0.7,0.09,0.65,0.74,0.75,0.73
ns-3-dev-def-routing.csv,0.8,0.93,0.83,0.84,0.54,0.82,0.58,0.86,0.76,0.74,0.93,0.02,0.79,0.8
open-ms.csv,0.91,0.84,0.67,0.97,0.9,0.66,0.85,0.8,0.67,0.78,0.75,0.69,0.68,0.04
openmsx.csv,0.52,0.62,0.73,0.74,0.84,0.83,0.82,0.74,0.83,0.94,0.06,0.66,0.66,0.88
rezilla.csv,0.7,0.11,0.68,0.71,0.87,0.73,0.63,0.77,0.86,0.88,0.85,0.68,0.77,0.7
sauerbraten.csv,0.0,0.7,0.73,0.63,0.46,0.52,0.52,0.73,0.66,0.44,0.74,0.67,0.61,0.62
webdriver.csv,0.58,0.95,0.77,0.68,0.48,0.0,0.67,0.83,0.71,0.63,0.73,0.6,0.63,0.68
yafdotnet.csv,0.71,0.51,0.55,0.62,0.54,0.54,0.55,0.69,0.02,0.44,0.64,0.73,0.67,0.63
