,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.71,0.36,0.99,0.21,0.32,0.52,0.19,0.97,0.51,0.3,0.52,0.44,0.72,0.25
exordium.csv,0.82,0.33,0.75,0.67,1.0,0.71,0.4,0.88,0.62,0.62,0.44,0.78,0.8,0.25
google-caja.csv,0.65,0.75,0.64,0.26,0.37,0.51,0.25,1.0,0.52,0.32,0.43,0.39,0.75,0.25
hydrogen.csv,0.71,0.0,0.5,0.33,0.46,0.49,1.0,0.73,0.5,0.24,0.41,0.43,0.66,0.25
kmess.csv,0.68,0.36,0.56,0.2,0.31,0.5,0.14,0.85,0.67,0.51,0.41,0.47,1.0,0.23
kvs.csv,0.6,1.0,0.49,1.0,0.0,0.26,0.57,0.68,0.55,0.16,0.21,0.36,0.52,0.3
megameknet.csv,0.6,0.24,0.66,0.18,0.33,0.53,0.21,0.83,0.53,0.98,0.45,0.37,0.6,0.27
ns-3-dev-def-routing.csv,0.8,0.17,0.5,0.15,0.37,0.73,0.19,0.75,0.4,0.29,0.45,1.0,0.61,0.25
open-ms.csv,0.43,0.24,0.55,0.06,0.33,0.59,0.09,0.69,0.51,0.33,0.38,0.42,0.66,1.0
openmsx.csv,0.73,0.38,0.48,0.2,0.22,0.44,0.12,0.73,0.36,0.19,1.0,0.43,0.66,0.19
rezilla.csv,0.67,1.0,0.51,0.21,0.16,0.45,0.17,0.71,0.3,0.18,0.31,0.41,0.58,0.21
sauerbraten.csv,1.0,0.33,0.56,0.35,0.4,0.62,0.24,0.75,0.5,0.48,0.45,0.42,0.69,0.26
webdriver.csv,0.71,0.24,0.5,0.3,0.38,1.0,0.15,0.78,0.5,0.39,0.46,0.5,0.68,0.26
yafdotnet.csv,0.64,0.56,0.6,0.25,0.35,0.57,0.2,0.75,0.99,0.38,0.46,0.38,0.67,0.24
