,agilitybook.csv,apolloplayer.csv,opde.csv,ildjit.csv,jfreereport.csv,ifmo-game-1.csv,ppcboot.csv,openfrag.csv,super-tux.csv,auber.csv,synergyspace.csv,quark.csv,keyczar.csv,passwordsafe.csv,xtreemfs.csv,moast.csv,cortex-vfx.csv,growl-for-windows.csv,wikipediardware.csv
agilitybook.csv,0.0,0.22,0.11,0.22,0.3,0.45,0.29,0.58,0.4,0.13,0.57,0.67,0.2,0.53,0.1,0.72,0.08,0.56,0.14
apolloplayer.csv,0.16,0.0,0.02,0.81,0.38,0.45,0.74,0.49,0.8,0.09,0.51,0.79,0.07,0.63,0.18,0.72,0.29,0.72,0.36
auber.csv,0.18,0.59,0.44,0.35,0.35,0.64,0.38,0.79,0.2,0.0,0.37,0.27,0.33,0.13,0.25,0.14,0.39,0.56,0.43
cortex-vfx.csv,0.15,0.13,0.16,0.26,0.11,0.22,0.2,0.09,0.2,0.15,0.07,0.19,0.0,0.07,0.02,0.41,0.0,0.0,0.21
growl-for-windows.csv,0.45,0.65,0.58,0.75,0.31,0.45,0.73,0.57,0.4,0.33,0.67,0.71,0.67,0.66,0.33,0.1,0.43,0.0,0.86
ifmo-game-1.csv,0.09,0.04,0.02,0.02,0.02,0.0,0.03,0.0,0.4,0.07,0.0,0.13,0.0,0.0,0.05,0.07,0.03,0.06,0.0
ildjit.csv,0.01,0.0,0.0,0.0,0.07,0.04,0.03,0.02,0.0,0.05,0.02,0.06,0.0,0.02,0.07,0.03,0.1,0.0,0.07
jfreereport.csv,0.33,0.29,0.31,0.37,0.0,0.4,0.32,0.53,0.8,0.16,0.66,0.46,0.8,0.37,0.21,0.41,0.23,0.56,0.57
keyczar.csv,0.22,0.63,0.33,0.19,0.19,0.42,0.91,0.74,0.0,0.36,0.15,0.02,0.0,0.27,0.39,0.0,0.31,0.33,0.14
moast.csv,0.66,0.96,0.76,0.68,0.87,0.64,0.29,0.7,0.4,0.64,0.59,0.65,0.8,0.73,0.67,0.0,0.96,0.83,0.29
opde.csv,0.36,0.13,0.0,0.78,0.49,0.53,0.97,0.21,0.0,0.45,0.54,0.9,0.13,0.31,0.69,0.72,0.54,0.5,0.93
openfrag.csv,0.87,0.51,0.69,0.96,0.65,0.56,0.93,0.0,0.6,0.6,0.38,0.58,0.33,0.55,0.56,0.41,0.68,0.56,0.79
passwordsafe.csv,0.29,0.37,0.31,0.81,0.33,0.44,0.4,0.3,0.8,0.16,0.45,0.35,0.33,0.0,0.18,0.45,0.26,0.33,0.5
ppcboot.csv,0.25,0.62,0.2,0.37,0.53,0.45,0.02,0.4,0.4,0.24,0.3,0.35,0.2,0.26,0.28,0.41,0.34,0.11,0.14
quark.csv,0.05,0.0,0.02,0.0,0.1,0.03,0.0,0.0,0.0,0.07,0.03,0.0,0.0,0.11,0.11,0.72,0.0,0.0,0.0
super-tux.csv,0.99,1.0,0.96,1.0,0.58,0.97,1.0,0.98,0.0,1.0,0.48,0.52,1.0,1.0,0.33,0.1,0.98,0.67,1.0
synergyspace.csv,0.1,0.05,0.09,0.31,0.04,0.04,0.82,0.06,0.0,0.09,0.0,0.85,0.07,0.1,0.03,0.14,0.0,0.17,0.79
wikipediardware.csv,0.93,0.81,0.82,0.84,0.92,0.81,0.68,0.75,0.6,0.73,0.81,1.0,0.87,0.67,0.9,0.93,0.91,0.94,0.0
xtreemfs.csv,0.51,0.48,0.64,0.47,0.57,0.6,0.14,0.62,0.2,0.6,0.54,0.21,0.67,0.52,0.02,0.28,0.81,0.28,0.14
