,agilitybook.csv,apolloplayer.csv,opde.csv,ildjit.csv,jfreereport.csv,ifmo-game-1.csv,ppcboot.csv,openfrag.csv,super-tux.csv,auber.csv,synergyspace.csv,quark.csv,keyczar.csv,passwordsafe.csv,xtreemfs.csv,moast.csv,cortex-vfx.csv,growl-for-windows.csv,wikipediardware.csv
agilitybook.csv,0.89,0.21,0.36,0.24,0.27,0.29,0.3,0.52,0.24,0.22,0.69,0.77,0.21,0.47,0.07,0.09,0.25,0.69,0.11
apolloplayer.csv,0.24,0.88,0.12,0.28,0.37,0.43,0.82,0.47,0.27,0.07,0.73,0.92,0.1,0.56,0.43,0.11,0.35,0.67,0.34
auber.csv,0.34,0.5,0.48,0.14,0.52,0.57,0.63,0.64,0.68,0.99,0.65,0.46,0.21,0.53,0.57,0.1,0.49,0.31,0.76
cortex-vfx.csv,0.21,0.17,0.28,0.03,0.14,0.29,0.31,0.27,0.31,0.19,0.35,0.23,0.08,0.18,0.13,0.14,0.92,0.06,0.13
growl-for-windows.csv,0.42,0.54,0.52,0.86,0.44,0.43,0.78,0.7,0.63,0.34,0.62,0.62,0.38,0.51,0.24,0.73,0.39,1.0,0.84
ifmo-game-1.csv,0.08,0.08,0.04,0.0,0.02,1.0,0.01,0.02,0.09,0.04,0.0,0.08,0.0,0.02,0.0,0.01,0.03,0.0,0.0
ildjit.csv,0.0,0.04,0.08,0.93,0.09,0.0,0.02,0.06,0.01,0.04,0.0,0.0,0.0,0.02,0.0,0.03,0.19,0.0,0.0
jfreereport.csv,0.16,0.21,0.32,0.34,0.9,0.14,0.31,0.32,0.36,0.16,0.69,0.15,0.65,0.25,0.06,0.04,0.39,0.58,0.32
keyczar.csv,0.21,0.46,0.32,0.17,0.21,0.71,0.82,0.64,0.24,0.36,0.19,0.0,0.94,0.19,0.28,0.46,0.31,0.17,0.29
moast.csv,0.76,0.88,0.68,0.9,0.93,0.86,0.33,0.67,0.69,0.82,0.65,0.62,0.77,0.81,0.92,1.0,0.9,0.61,0.39
opde.csv,0.47,0.17,1.0,0.79,0.65,0.86,0.96,0.5,0.51,0.49,0.42,0.92,0.33,0.4,0.54,0.91,0.7,0.53,0.87
openfrag.csv,0.92,0.62,0.8,1.0,0.78,0.57,0.94,0.92,0.78,0.79,0.5,0.77,0.21,0.74,0.86,1.0,0.77,0.69,0.76
passwordsafe.csv,0.53,0.71,0.44,0.69,0.54,0.57,0.62,0.33,0.32,0.55,0.77,0.62,0.42,0.93,0.51,0.77,0.47,0.69,0.79
ppcboot.csv,0.47,0.62,0.36,0.34,0.66,0.71,0.96,0.65,0.54,0.6,0.31,0.77,0.15,0.4,0.39,0.91,0.43,0.42,0.45
quark.csv,0.16,0.0,0.04,0.0,0.15,0.0,0.0,0.0,0.07,0.06,0.0,0.92,0.0,0.11,0.08,0.08,0.0,0.08,0.0
super-tux.csv,1.0,0.96,0.96,1.0,0.71,1.0,1.0,1.0,1.0,1.0,0.62,0.38,0.98,1.0,0.8,0.88,0.97,0.44,1.0
synergyspace.csv,0.0,0.21,0.08,0.1,0.06,0.14,0.87,0.09,0.1,0.1,0.88,0.77,0.06,0.11,0.09,0.0,0.01,0.36,0.82
wikipediardware.csv,0.84,0.96,0.8,0.9,0.99,0.86,0.7,0.86,0.89,0.9,0.81,1.0,0.9,0.89,1.0,1.0,0.99,0.58,0.95
xtreemfs.csv,0.55,0.83,0.6,0.24,0.79,0.57,0.12,0.59,0.48,0.81,0.54,0.23,0.6,0.67,1.0,0.88,0.78,0.36,0.26
