,kvs.csv,fltk.csv,phet.csv,blue-c.csv,voms.csv,jbasic.csv,apertium.csv,smarttag.csv,vrjuggler.csv,sumatrapdf.csv,monetdb.csv,wheat.csv,repositorium.csv,projecteqemu.csv,free-evolution.csv,icescrum.csv,factor.csv
apertium.csv,0.01,0.26,0.67,0.08,0.09,0.33,0.34,0.36,0.69,0.8,0.08,0.17,0.21,0.22,0.1,0.53,0.26
blue-c.csv,0.47,0.83,0.76,0.04,0.26,0.53,0.93,1.0,0.36,0.22,0.83,0.5,0.72,0.71,0.51,0.72,0.52
factor.csv,0.04,0.21,0.13,0.0,0.23,0.02,0.55,0.51,0.03,0.11,0.03,0.29,0.01,0.02,0.16,0.56,0.17
fltk.csv,0.16,0.27,0.52,0.04,0.47,0.24,0.88,0.95,0.07,0.05,0.36,0.12,0.02,0.42,0.24,0.53,0.26
free-evolution.csv,0.2,0.31,0.74,0.0,0.33,0.3,0.31,0.46,0.86,0.95,0.39,0.71,0.4,0.78,0.39,0.69,0.35
icescrum.csv,0.18,0.28,0.42,0.04,0.21,0.3,0.38,0.33,0.41,0.27,0.32,0.04,0.26,0.29,0.21,0.19,0.43
jbasic.csv,0.8,0.87,1.0,1.0,0.71,0.39,0.93,0.79,0.71,1.0,0.95,0.17,0.02,1.0,0.58,0.84,0.96
kvs.csv,0.18,0.33,0.35,0.0,0.29,0.89,0.07,0.03,0.69,0.69,0.2,0.08,0.38,0.31,0.16,0.47,0.48
monetdb.csv,0.07,0.07,0.19,0.04,0.02,0.03,0.14,0.13,0.19,0.05,0.21,0.08,0.41,0.4,0.21,0.22,0.09
phet.csv,0.95,0.45,0.24,1.0,0.95,0.77,0.31,0.05,0.68,0.82,0.65,0.79,0.97,0.6,0.81,0.44,0.74
projecteqemu.csv,0.03,0.11,0.21,0.04,0.08,0.36,0.55,0.56,0.17,0.13,0.27,0.08,0.01,0.31,0.14,0.41,0.09
repositorium.csv,0.87,0.67,0.11,0.16,0.82,0.12,0.05,0.08,0.0,0.04,0.52,0.54,0.31,0.49,0.44,0.41,0.39
smarttag.csv,0.07,0.28,0.41,0.08,0.33,0.03,0.59,0.15,0.02,0.02,0.27,0.04,0.1,0.49,0.14,0.34,0.43
sumatrapdf.csv,0.84,0.83,0.79,1.0,0.77,0.91,0.97,1.0,0.53,0.18,0.91,0.42,0.92,0.91,0.68,0.84,0.74
voms.csv,0.05,0.69,0.32,0.0,0.17,0.06,0.67,0.54,0.22,0.11,0.36,0.21,0.05,0.29,0.09,0.31,0.35
vrjuggler.csv,0.34,0.38,0.81,0.04,0.74,0.11,0.33,0.08,0.39,0.35,0.09,0.33,0.2,0.4,0.2,0.22,0.83
wheat.csv,0.5,0.33,0.31,0.24,0.41,0.23,0.45,0.26,0.46,0.65,0.62,0.33,0.65,0.22,0.37,0.5,0.43
