,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.34,0.25,0.29,0.24,0.66,0.37,0.23,0.36,0.59,0.14,0.24,0.77,0.78,0.19,0.63,0.61,0.17,0.48
arm-webradio.csv,0.44,0.41,0.09,0.21,0.69,0.4,0.23,0.71,0.6,0.13,0.0,0.49,0.37,0.09,0.69,0.78,0.06,0.8
bwapi.csv,0.71,0.22,0.22,0.19,0.49,0.55,0.46,0.12,0.31,0.21,0.35,0.88,0.74,0.1,0.59,0.86,0.18,0.26
co-ode-owl-plugins.csv,0.57,0.41,0.32,0.26,0.74,0.54,0.24,0.7,0.64,0.19,0.08,0.54,0.36,0.1,0.7,0.83,0.18,0.8
firebreath.csv,0.6,0.34,0.29,0.27,0.71,0.65,0.25,0.2,0.63,0.25,0.08,0.5,0.45,0.27,0.42,0.32,0.12,0.38
frogatto.csv,0.73,0.27,0.24,0.25,0.66,0.58,0.51,0.15,0.61,0.33,0.36,0.8,0.69,0.1,0.71,0.39,0.28,0.32
gretl.csv,0.77,0.3,0.29,0.28,0.7,0.49,0.32,0.36,0.53,0.2,0.15,0.81,0.64,0.18,0.68,0.86,0.14,0.55
jasperreports.csv,0.5,0.17,0.22,0.16,0.43,0.54,0.41,0.11,0.19,0.18,0.38,0.79,0.7,0.45,0.31,0.21,0.08,0.02
konversation.csv,0.58,0.27,0.49,0.29,0.63,0.6,0.44,0.36,0.22,0.18,0.31,0.63,0.37,0.19,0.45,0.22,0.11,0.35
linuxsh.csv,0.55,0.44,0.1,0.16,0.64,0.23,0.0,0.58,0.63,0.14,0.0,0.22,0.15,0.0,0.58,0.68,0.0,0.55
moviesandbox.csv,0.73,0.3,0.32,0.24,0.7,0.54,0.13,0.47,0.65,0.18,0.1,0.3,0.3,0.1,0.54,0.42,0.17,0.28
ontomorphtab.csv,0.74,0.29,0.21,0.23,0.72,0.57,0.44,0.12,0.55,0.22,0.35,0.88,0.75,0.24,0.68,0.72,0.1,0.37
opengs.csv,0.29,0.32,0.39,0.38,0.67,0.49,0.24,0.2,0.69,0.25,0.0,0.47,0.43,0.08,0.59,0.54,0.36,0.52
scite-ru.csv,0.76,0.38,0.24,0.23,0.71,0.53,0.42,0.3,0.68,0.2,0.36,0.69,0.55,0.1,0.7,0.87,0.18,0.46
tokratan.csv,0.44,0.34,0.45,0.39,0.67,0.35,0.09,0.19,0.52,0.34,0.12,0.75,0.55,0.16,0.36,0.19,0.4,0.35
vrjuggler.csv,0.46,0.0,0.45,0.04,0.49,0.03,0.08,0.69,0.07,0.08,0.48,0.04,0.04,0.01,0.55,0.39,0.2,0.32
wxcode.csv,0.4,0.0,0.42,0.36,0.4,0.4,0.39,0.1,0.04,0.44,0.22,0.54,0.4,0.22,0.24,0.2,0.5,0.05
xuggle.csv,0.62,0.28,0.34,0.44,0.68,0.52,0.44,0.19,0.67,0.29,0.15,0.72,0.69,0.1,0.68,0.76,0.31,0.48
