,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,ingex.csv,power-architect.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.64,0.73,0.67,0.28,0.59,0.47,0.66,0.23,0.48,0.87,0.76,0.38,0.66,0.57,0.95,0.68,0.42
apertium.csv,0.77,0.67,0.33,0.46,0.7,0.31,0.48,0.36,0.76,0.6,0.96,0.31,0.69,0.48,0.15,0.18,0.74
beast-mcmc.csv,0.89,0.39,0.33,0.54,0.23,0.56,0.35,0.27,0.48,0.21,0.92,0.19,0.41,0.24,0.22,0.18,0.53
cuberok.csv,0.48,0.39,0.84,0.74,0.59,0.56,0.48,1.0,0.8,0.52,0.6,0.56,0.31,0.57,0.27,0.27,0.74
icescrum.csv,0.45,0.45,0.35,0.26,0.42,0.25,0.44,0.41,0.52,0.33,0.24,0.19,0.59,0.48,0.24,0.14,1.0
ingex.csv,0.42,0.3,0.65,0.26,0.33,0.36,0.54,0.32,0.4,0.7,0.08,0.19,0.93,0.24,0.32,0.59,0.47
jbasic.csv,0.3,0.21,0.22,0.15,0.28,0.08,0.24,0.09,0.08,0.98,0.36,0.19,0.24,0.19,0.32,0.14,0.42
jgnash.csv,0.21,0.12,0.2,0.21,0.16,0.47,0.25,0.18,0.96,0.17,0.08,0.12,0.03,0.15,0.1,0.09,0.47
jrefactory.csv,0.5,0.45,0.98,0.72,0.52,0.42,0.5,0.36,0.48,0.22,0.72,0.44,0.17,0.48,0.56,0.5,0.47
jsecurity.csv,0.2,0.15,0.24,0.95,0.12,0.28,0.25,0.32,0.24,0.16,0.16,0.12,0.21,0.24,0.02,0.0,0.16
libopenmetaverse.csv,0.56,0.64,0.76,0.59,0.81,1.0,0.74,0.77,0.56,0.71,0.84,0.62,0.45,0.52,0.71,0.59,0.63
mobicents.csv,0.56,0.45,0.49,0.36,0.44,0.31,0.98,0.18,0.56,0.68,0.32,0.38,0.48,0.44,0.27,0.0,0.47
opendvr.csv,0.71,0.73,0.63,0.44,0.62,0.56,0.76,0.64,0.76,0.83,0.4,0.75,0.69,0.72,0.63,0.95,0.79
openefm.csv,0.48,0.91,0.43,0.41,0.27,0.58,0.57,0.32,0.52,0.33,0.32,0.31,0.48,0.59,0.44,0.14,0.84
power-architect.csv,0.7,0.73,0.8,0.92,0.78,0.92,0.86,0.5,0.68,0.92,0.88,0.81,0.38,1.0,0.59,0.82,1.0
sidekar.csv,0.85,0.48,0.69,0.69,0.98,0.86,0.69,0.82,0.76,0.49,0.52,0.69,0.76,0.65,0.59,0.55,0.84
yarp0.csv,0.52,0.48,0.53,0.59,0.75,0.25,0.62,0.09,0.52,0.89,0.4,0.94,0.59,0.7,0.54,0.0,0.26
