,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,ingex.csv,power-architect.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.55,0.46,0.53,0.78,0.72,0.61,0.53,0.7,0.65,0.5,0.6,0.72,0.47,0.49,0.69,0.7,0.65
apertium.csv,0.41,0.53,0.53,0.59,0.49,0.5,0.5,0.5,0.41,0.53,0.75,0.69,0.33,0.39,0.9,0.78,0.38
beast-mcmc.csv,0.73,0.53,0.7,0.68,0.88,0.58,0.6,0.92,0.49,0.64,0.42,0.91,0.64,0.81,0.82,0.69,0.45
cuberok.csv,0.51,0.62,0.39,0.55,0.42,0.46,0.47,0.59,0.48,0.53,0.52,0.41,0.68,0.39,0.71,0.75,0.36
icescrum.csv,0.75,0.65,0.48,0.74,0.61,0.64,0.51,0.64,0.52,0.5,0.73,0.8,0.48,0.45,0.65,0.86,0.58
ingex.csv,0.56,0.9,0.63,0.89,0.76,0.66,0.6,0.65,0.88,0.56,0.94,0.92,0.57,0.86,0.95,0.83,0.59
jbasic.csv,0.98,0.94,0.76,0.94,0.86,0.86,0.82,0.86,0.94,0.58,0.58,0.83,0.72,0.92,0.62,0.9,0.69
jgnash.csv,0.83,0.9,0.68,0.77,0.86,0.53,0.77,0.89,0.96,0.76,0.88,0.89,0.67,0.9,0.92,0.83,0.48
jrefactory.csv,0.56,0.55,0.55,0.48,0.41,0.59,0.57,0.58,0.54,0.72,0.52,0.55,0.93,0.39,0.68,0.64,0.46
jsecurity.csv,0.97,0.91,0.88,0.84,0.92,0.81,0.95,0.93,0.74,0.88,0.92,0.86,0.92,0.93,0.83,0.67,0.8
libopenmetaverse.csv,0.49,0.46,0.43,0.6,0.57,0.53,0.44,0.42,0.52,0.53,0.45,0.46,0.56,0.46,0.53,0.51,0.44
mobicents.csv,0.52,0.57,0.58,0.8,0.66,0.63,0.52,0.71,0.55,0.48,0.73,0.73,0.42,0.53,0.57,0.89,0.78
opendvr.csv,0.44,0.46,0.52,0.78,0.65,0.5,0.48,0.5,0.5,0.51,0.55,0.58,0.52,0.42,0.56,0.86,0.37
openefm.csv,0.51,0.65,0.4,0.67,0.76,0.44,0.57,0.69,0.66,0.5,0.69,0.79,0.6,0.5,0.62,0.91,0.35
power-architect.csv,0.4,0.47,0.45,0.49,0.51,0.37,0.41,0.7,0.6,0.47,0.52,0.47,0.68,0.41,0.67,0.59,0.31
sidekar.csv,0.37,0.41,0.39,0.45,0.49,0.4,0.44,0.45,0.39,0.45,0.5,0.45,0.36,0.36,0.53,0.52,0.33
yarp0.csv,0.54,0.61,0.5,0.62,0.57,0.62,0.54,0.89,0.64,0.47,0.59,0.67,0.49,0.41,0.61,0.0,0.82
