,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,ingex.csv,power-architect.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.51,0.82,0.63,0.62,0.58,0.46,0.57,0.43,0.58,0.8,0.66,0.5,0.38,0.86,0.0,0.53,0.28
apertium.csv,0.47,0.18,0.34,0.24,0.42,0.31,0.39,0.29,0.57,0.29,0.0,0.21,0.5,0.5,0.06,0.09,0.38
beast-mcmc.csv,0.0,0.28,0.16,0.63,0.05,0.46,0.23,0.17,0.28,0.14,1.0,0.21,0.26,0.21,0.2,0.23,0.31
cuberok.csv,0.4,0.24,0.87,0.64,0.32,0.49,0.44,0.0,0.31,0.41,0.31,0.47,0.38,0.36,0.45,0.34,0.44
icescrum.csv,0.12,0.12,0.24,0.14,0.16,0.14,0.21,0.14,0.3,0.2,0.16,0.05,0.16,0.36,0.15,0.08,0.0
ingex.csv,0.52,0.15,0.47,0.16,0.11,0.46,0.4,0.29,0.16,0.8,0.24,0.24,0.02,0.07,0.12,0.42,0.41
jbasic.csv,0.14,0.15,0.16,0.07,0.08,0.11,0.21,0.14,0.11,0.05,0.38,0.08,0.22,0.14,0.2,0.13,0.25
jgnash.csv,0.19,0.09,0.24,0.14,0.11,0.37,0.18,0.14,0.0,0.09,0.1,0.18,0.04,0.14,0.14,0.08,0.44
jrefactory.csv,0.48,0.61,0.03,0.51,0.29,0.4,0.47,0.46,0.52,0.23,0.76,0.58,0.18,0.71,0.36,0.58,0.47
jsecurity.csv,0.12,0.09,0.13,0.0,0.13,0.17,0.2,0.23,0.28,0.09,0.14,0.13,0.14,0.14,0.08,0.06,0.06
libopenmetaverse.csv,0.6,0.79,0.79,0.77,0.63,0.0,0.7,0.8,0.79,0.32,0.76,0.71,0.6,0.64,0.65,0.64,0.47
mobicents.csv,0.35,0.37,0.34,0.24,0.18,0.46,0.0,0.37,0.42,0.35,0.31,0.13,0.44,0.43,0.36,0.17,0.28
opendvr.csv,0.71,0.82,0.68,0.46,0.68,0.74,0.59,0.74,0.72,0.8,0.55,0.32,0.6,0.79,0.67,0.0,0.62
openefm.csv,0.52,0.01,0.53,0.36,0.11,0.69,0.4,0.26,0.4,0.23,0.41,0.24,0.32,0.57,0.58,0.15,0.75
power-architect.csv,0.82,0.72,0.74,0.8,0.87,1.0,0.83,0.54,0.6,0.88,0.76,0.84,0.58,0.0,0.68,0.72,1.0
sidekar.csv,0.52,0.42,0.84,0.42,0.0,0.77,0.52,0.57,0.59,0.33,0.53,0.47,0.74,0.71,0.61,0.6,0.44
yarp0.csv,0.48,0.52,0.61,0.65,0.68,0.43,0.44,0.2,0.51,0.86,0.47,0.0,0.4,0.93,0.52,0.0,0.19
