,jfreereport.csv,arcallians.csv,acegisecurity.csv,gebr.csv,amateur-scrolls.csv,kml.csv,multitude.csv
acegisecurity.csv,0.62,0.68,0.68,0.53,0.6,0.66,0.57
amateur-scrolls.csv,0.38,0.09,0.55,0.0,0.67,0.0,0.35
arcallians.csv,0.63,0.73,0.72,0.53,0.59,0.75,0.6
gebr.csv,0.09,0.0,0.0,0.68,0.09,0.72,0.55
jfreereport.csv,0.47,0.21,0.24,0.17,0.66,0.36,0.17
kml.csv,0.09,0.0,0.09,0.62,0.38,0.76,0.46
multitude.csv,0.65,0.5,0.61,0.77,0.75,0.61,0.69
