,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
columba.csv,0.69,0.94,0.85,0.86,0.7,0.67,1.02,0.7,0.8,0.39,0.02,0.67,0.57,0.38
encog-cs.csv,0.72,0.77,0.86,0.05,0.79,0.73,0.88,0.93,0.98,0.79,0.88,0.96,0.83,0.75
fido.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0
flexpay.csv,1.08,0.86,0.67,0.91,0.13,0.84,0.46,0.76,0.92,0.78,0.68,0.69,0.65,1.0
fluent-nhibernate.csv,0.86,1.0,1.0,0.95,0.96,0.97,1.0,1.0,1.0,0.0,0.97,0.9,0.95,0.6
geochat.csv,0.87,0.81,0.72,0.78,0.86,0.76,0.93,0.71,0.86,0.99,0.96,0.07,0.92,0.92
gpsmid.csv,0.02,0.97,0.85,0.65,0.67,0.84,0.63,0.79,0.45,0.46,0.54,0.79,0.39,0.62
k3d.csv,0.92,0.87,0.0,0.9,0.9,0.85,1.0,0.9,1.0,1.0,0.85,0.9,0.83,1.0
m-a-d-n-e-s-s.csv,0.77,0.62,0.78,0.73,0.73,0.0,0.65,0.61,0.74,0.53,0.69,0.94,0.91,0.56
mob-sen-plat.csv,0.76,0.03,0.66,0.74,0.6,0.7,0.54,0.82,0.66,0.8,0.69,0.68,0.51,0.88
ninject.csv,0.67,1.0,1.0,0.95,0.85,1.0,0.51,0.97,0.2,0.74,0.84,0.88,0.8,1.0
uface.csv,0.7,1.0,1.0,0.69,0.83,1.0,0.88,1.0,0.93,0.76,0.78,0.95,0.0,0.83
v8.csv,0.36,0.85,0.89,0.69,0.64,0.82,0.56,0.08,0.41,0.28,0.53,0.63,0.52,0.91
