,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
columba.csv,0.21,0.05,0.18,0.14,0.31,0.18,0.2,0.15,0.05,0.16,0.01,0.31,0.26,0.38
encog-cs.csv,0.58,0.75,0.84,0.02,0.77,0.72,0.88,0.92,0.98,0.77,0.87,0.89,0.81,0.75
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flexpay.csv,0.66,0.85,0.35,0.04,0.0,0.27,0.39,0.31,0.45,0.17,0.48,0.4,0.3,0.1
fluent-nhibernate.csv,0.08,0.0,0.04,0.02,0.04,0.12,0.05,0.23,0.0,0.0,0.02,0.05,0.0,0.04
geochat.csv,0.79,0.3,0.28,0.74,0.85,0.25,0.89,0.23,0.76,0.69,0.96,0.0,0.87,0.69
gpsmid.csv,0.0,0.7,0.85,0.3,0.53,0.8,0.38,0.77,0.2,0.43,0.23,0.78,0.17,0.62
k3d.csv,0.03,0.3,0.0,0.08,0.05,0.13,0.06,0.0,0.04,0.04,0.03,0.08,0.06,0.08
m-a-d-n-e-s-s.csv,0.47,0.35,0.26,0.2,0.3,0.0,0.41,0.15,0.44,0.4,0.28,0.26,0.35,0.52
mob-sen-plat.csv,0.66,0.0,0.64,0.36,0.42,0.42,0.48,0.62,0.53,0.6,0.52,0.46,0.5,0.37
ninject.csv,0.03,0.0,0.04,0.01,0.11,0.0,0.11,0.0,0.0,0.22,0.05,0.16,0.04,0.08
uface.csv,0.68,1.0,1.0,0.67,0.82,1.0,0.72,1.0,0.93,0.76,0.78,0.95,0.0,0.73
v8.csv,0.08,0.85,0.89,0.31,0.28,0.82,0.25,0.08,0.07,0.25,0.17,0.57,0.07,0.44
