,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
columba.csv,0.39,0.07,0.2,0.18,0.41,0.41,0.0,0.37,0.24,0.68,0.99,0.44,0.53,0.89
encog-cs.csv,0.53,0.57,0.44,0.96,0.54,0.62,0.41,0.29,0.09,0.54,0.41,0.32,0.5,0.62
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
flexpay.csv,0.16,0.44,0.46,0.11,0.89,0.23,0.72,0.35,0.23,0.28,0.52,0.46,0.47,0.0
fluent-nhibernate.csv,0.17,0.0,0.0,0.06,0.05,0.05,0.0,0.04,0.0,1.0,0.04,0.12,0.06,0.45
geochat.csv,0.45,0.28,0.37,0.55,0.44,0.32,0.35,0.37,0.46,0.29,0.17,0.94,0.38,0.38
gpsmid.csv,0.98,0.32,0.46,0.46,0.55,0.49,0.52,0.54,0.63,0.75,0.56,0.53,0.68,0.75
k3d.csv,0.1,0.21,1.0,0.13,0.12,0.19,0.0,0.12,0.0,0.0,0.18,0.12,0.21,0.0
m-a-d-n-e-s-s.csv,0.41,0.51,0.31,0.34,0.38,1.0,0.52,0.45,0.42,0.64,0.41,0.12,0.19,0.71
mob-sen-plat.csv,0.53,0.98,0.66,0.38,0.56,0.46,0.69,0.44,0.57,0.45,0.53,0.51,0.76,0.23
ninject.csv,0.38,0.0,0.0,0.06,0.19,0.0,0.55,0.04,0.83,0.33,0.19,0.16,0.24,0.0
uface.csv,0.63,0.0,0.0,0.63,0.49,0.0,0.43,0.0,0.27,0.61,0.56,0.21,1.0,0.48
v8.csv,0.69,0.46,0.37,0.42,0.47,0.5,0.54,0.98,0.65,0.85,0.53,0.64,0.53,0.23
