,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
columba.csv,0.35,0.06,0.17,0.15,0.37,0.36,0.0,0.32,0.2,0.65,0.99,0.4,0.49,1.0
encog-cs.csv,0.57,0.85,0.8,0.95,0.82,0.88,1.0,0.86,1.0,0.82,0.86,0.63,0.83,1.0
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
flexpay.csv,0.14,0.85,0.43,0.09,0.87,0.2,0.75,0.31,0.2,0.24,0.52,0.43,0.43,0.0
fluent-nhibernate.csv,0.14,0.0,0.0,0.05,0.04,0.04,0.0,0.03,0.0,1.0,0.03,0.1,0.05,0.4
geochat.csv,0.63,0.24,0.33,0.76,0.85,0.28,0.75,0.33,0.6,0.29,0.92,0.93,0.71,0.4
gpsmid.csv,0.98,0.33,0.97,0.42,0.58,0.76,0.5,0.81,0.6,0.82,0.52,0.83,0.65,1.0
k3d.csv,0.08,0.18,1.0,0.11,0.1,0.16,0.0,0.1,0.0,0.0,0.15,0.1,0.18,0.0
m-a-d-n-e-s-s.csv,0.39,0.48,0.27,0.3,0.34,1.0,0.5,0.4,0.4,0.65,0.37,0.1,0.16,0.8
mob-sen-plat.csv,0.61,0.97,0.83,0.35,0.56,0.44,0.75,0.46,0.6,0.47,0.55,0.5,0.88,0.2
ninject.csv,0.33,0.0,0.0,0.05,0.16,0.0,0.5,0.03,0.8,0.29,0.16,0.13,0.2,0.0
uface.csv,0.84,0.97,1.0,0.82,0.85,0.96,0.5,0.99,1.0,1.0,0.91,0.93,1.0,0.6
v8.csv,0.65,0.97,0.9,0.38,0.43,0.92,0.5,1.0,0.6,0.88,0.49,0.73,0.48,0.2
