,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
columba.csv,0.68,0.67,0.14,0.37,0.2,0.45,0.0,0.97,0.25,0.3,0.97,0.29,0.79,0.2
encog-cs.csv,0.56,0.65,0.14,0.97,0.18,0.34,0.04,0.94,0.08,0.1,0.29,0.18,0.67,0.11
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
flexpay.csv,0.22,0.62,0.17,0.55,1.0,0.24,0.07,0.94,0.04,0.12,0.31,0.25,0.74,0.0
fluent-nhibernate.csv,0.7,0.0,0.0,0.6,0.2,0.12,0.0,0.67,0.0,1.0,0.43,0.38,1.0,0.5
geochat.csv,0.51,0.57,0.17,0.36,0.17,0.32,0.03,0.96,0.07,0.04,0.28,1.0,0.62,0.05
gpsmid.csv,1.0,0.44,0.16,0.44,0.19,0.28,0.05,0.94,0.21,0.16,0.48,0.25,0.89,0.14
k3d.csv,0.8,0.5,1.0,0.44,0.3,0.33,0.0,1.0,0.0,0.0,0.7,0.27,0.86,0.0
m-a-d-n-e-s-s.csv,0.51,0.7,0.15,0.45,0.19,1.0,0.05,0.98,0.08,0.14,0.35,0.11,0.47,0.13
mob-sen-plat.csv,0.55,1.0,0.18,0.35,0.22,0.31,0.06,0.92,0.09,0.07,0.3,0.25,0.78,0.05
ninject.csv,0.94,0.0,0.0,0.75,0.23,0.0,0.15,1.0,1.0,0.12,0.56,0.2,0.92,0.0
uface.csv,0.61,0.62,0.15,0.41,0.18,0.29,0.03,0.94,0.09,0.12,0.33,0.23,1.0,0.07
v8.csv,0.91,0.65,0.15,0.41,0.24,0.32,0.07,1.0,0.43,0.26,0.55,0.28,0.93,0.04
