,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.83,1.0,0.34,0.54,0.98
elmo.csv,0.44,0.82,0.72,0.57,0.74
mscore.csv,0.84,0.6,0.99,0.96,0.43
tolven.csv,0.88,0.58,0.45,0.38,0.68
xbplayer.csv,1.01,0.37,0.48,0.41,0.61
