,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.13,0.47,0.78,0.58,0.73
elmo.csv,0.29,0.25,0.42,0.49,0.41
mscore.csv,0.08,0.55,0.72,0.45,0.72
tolven.csv,0.07,0.49,0.73,0.61,0.47
xbplayer.csv,0.0,0.64,0.66,0.62,0.54
