,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.81,0.85,0.84,0.0,0.5,0.83,0.86,0.6,0.57,0.64,0.67,0.72,0.84,0.67,0.71
aufs.csv,0.98,0.74,0.67,0.78,0.63,0.48,0.73,0.49,0.0,0.85,0.53,0.72,0.87,0.7,0.83
bulmages.csv,0.97,0.92,0.89,0.78,0.88,0.88,0.93,0.97,1.0,0.0,0.61,1.0,0.52,1.0,1.0
coot.csv,0.71,0.78,0.79,0.66,0.74,0.7,0.55,0.69,0.74,0.62,0.57,0.68,0.0,0.56,0.61
emono.csv,0.73,0.93,0.78,1.0,0.88,0.85,0.54,0.69,0.95,0.88,0.87,0.87,0.55,0.73,0.0
extprosys.csv,0.89,0.08,0.98,0.63,0.96,0.88,1.0,0.88,0.71,0.98,0.89,0.99,0.86,0.79,0.64
freelords.csv,0.8,0.98,0.74,0.9,0.92,0.89,0.0,0.98,0.98,0.67,0.73,0.75,0.77,0.84,0.91
jnode.csv,0.74,0.92,0.86,0.65,0.97,0.0,0.92,0.92,1.0,0.77,1.0,0.9,0.66,0.97,1.0
jruby.csv,0.77,0.87,0.9,0.69,0.52,0.64,0.65,0.58,0.79,0.96,0.86,0.84,0.91,0.0,0.78
jsecurity.csv,0.76,0.7,0.76,0.99,0.03,0.64,0.81,0.6,0.77,0.65,0.75,0.85,0.6,0.75,0.67
matrex.csv,0.65,0.96,0.86,0.89,0.85,0.52,0.8,0.56,0.42,0.97,0.01,0.58,0.95,0.81,0.87
officefloor.csv,1.0,0.78,0.72,0.56,1.0,1.0,0.92,0.11,0.85,0.75,0.91,0.9,0.8,0.88,0.66
projectfactory.csv,0.75,0.78,0.68,0.74,0.53,0.79,0.73,0.71,0.62,0.67,0.67,0.0,0.59,0.64,0.61
taverna.csv,0.74,0.85,0.0,1.01,0.92,0.95,0.79,0.98,1.0,0.73,0.77,0.66,0.68,0.91,0.76
vxl.csv,0.0,0.95,0.66,1.0,1.0,0.95,0.9,0.9,0.81,0.8,0.92,0.66,0.81,0.81,0.9
