,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.47,0.76,0.42,0.41,0.47,0.44,0.57,0.44,0.46,0.38,0.42,0.58,0.46,0.48,0.57
aufs.csv,0.42,0.89,0.49,0.92,0.68,0.49,0.62,0.48,0.68,0.86,0.48,0.52,0.94,0.5,0.81
bulmages.csv,0.5,0.96,0.75,0.37,0.95,0.97,0.89,0.98,0.0,0.86,0.74,0.0,0.45,0.0,0.0
coot.csv,0.67,0.67,0.56,0.44,0.47,0.5,0.58,0.52,0.41,0.37,0.4,0.67,0.53,0.66,0.53
emono.csv,0.57,0.51,0.59,0.34,0.54,0.53,0.56,0.49,0.53,0.51,0.43,0.43,0.51,0.6,0.53
extprosys.csv,0.45,0.76,0.4,0.41,0.49,0.44,0.4,0.51,0.57,0.62,0.39,0.42,0.79,0.47,0.66
freelords.csv,0.43,0.48,0.38,0.3,0.46,0.4,0.43,0.45,0.51,0.38,0.32,0.45,0.43,0.45,0.45
jnode.csv,0.85,0.97,0.89,0.74,0.67,0.94,0.94,0.89,0.0,0.92,0.0,0.88,0.62,0.8,0.0
jruby.csv,0.42,0.97,0.6,0.5,0.46,0.44,0.6,0.4,0.44,0.9,0.78,0.46,0.89,0.48,0.56
jsecurity.csv,0.5,0.66,0.88,0.86,0.82,0.54,0.83,0.69,0.53,0.46,0.79,0.88,0.4,0.59,0.5
matrex.csv,0.45,0.86,0.91,0.61,0.94,0.57,0.82,0.95,0.47,0.94,0.45,0.61,0.67,0.8,0.95
officefloor.csv,0.0,0.76,0.85,0.48,0.5,0.9,0.86,0.97,0.68,0.45,0.56,0.47,0.86,0.58,0.81
projectfactory.csv,0.51,0.63,0.47,0.76,0.48,0.43,0.53,0.55,0.39,0.51,0.48,0.59,0.67,0.54,0.57
taverna.csv,0.92,0.94,0.74,0.5,0.9,0.98,0.92,0.99,0.0,0.83,0.97,0.62,0.64,0.92,0.83
vxl.csv,0.86,0.94,0.62,0.34,0.89,0.99,0.58,0.99,0.65,0.97,0.97,0.62,0.64,0.84,0.7
