,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.38,0.96,0.19,0.59,0.59,0.76,0.53,0.35,0.87,0.34,0.71,0.99
gwanted.csv,0.11,0.11,0.0,0.08,0.25,0.75,0.46,0.93,0.03,0.0,0.5,0.14
ivatamasks.csv,0.51,0.9,0.19,0.99,0.67,0.78,0.54,0.27,0.86,0.6,0.72,0.71
java-gnome.csv,0.86,0.52,0.29,0.58,0.38,0.5,0.46,0.3,0.99,0.06,0.49,0.4
orc.csv,0.07,0.0,1.0,0.09,0.12,0.5,0.18,0.4,0.07,0.0,0.27,0.09
plato.csv,0.13,0.81,0.16,0.63,0.68,0.99,0.54,0.26,0.66,0.63,0.79,0.7
rodin-b-sharp.csv,0.54,0.71,0.17,0.49,0.22,0.4,0.99,0.19,0.8,0.05,0.55,0.31
tycho.csv,0.36,0.68,0.16,0.68,0.6,0.71,0.45,0.29,0.83,0.97,0.7,0.75
umber.csv,1.0,0.56,0.26,0.56,0.39,0.16,0.42,0.29,0.83,0.32,0.25,0.55
unicase.csv,0.35,0.84,0.22,0.73,0.52,0.69,0.54,0.29,0.83,0.27,1.0,0.64
vienna-add-in.csv,0.69,0.81,0.15,0.76,0.98,0.82,0.46,0.3,0.82,0.6,0.69,0.69
wpdev.csv,0.41,1.0,0.19,0.81,0.8,0.86,0.53,0.29,0.88,0.71,0.84,0.8
