,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.56,0.0,0.3,0.49,0.51,0.59,0.56,0.66,0.78,0.3,0.63,0.99
gwanted.csv,0.13,0.07,0.0,0.05,0.17,0.51,0.45,0.91,0.02,0.0,0.41,0.1
ivatamasks.csv,0.74,0.73,0.58,0.98,0.54,0.36,0.64,0.54,0.65,0.54,0.51,0.65
java-gnome.csv,0.82,0.41,0.59,0.47,0.29,0.38,0.43,0.47,0.98,0.04,0.39,0.34
orc.csv,0.06,0.0,1.0,0.06,0.09,0.39,0.14,0.5,0.05,0.0,0.19,0.06
plato.csv,0.12,0.63,0.5,0.41,0.49,0.97,0.56,0.46,0.47,0.61,0.41,0.61
rodin-b-sharp.csv,0.57,0.6,0.23,0.4,0.16,0.3,0.98,0.21,0.73,0.04,0.45,0.24
tycho.csv,0.55,0.51,0.52,0.23,0.52,0.55,0.54,0.56,0.73,0.95,0.41,0.62
umber.csv,1.0,0.44,0.48,0.48,0.29,0.12,0.44,0.43,0.75,0.24,0.17,0.48
unicase.csv,0.52,0.76,0.65,0.63,0.45,0.58,0.65,0.59,0.75,0.2,1.0,0.57
vienna-add-in.csv,0.86,0.73,0.25,0.41,0.97,0.69,0.55,0.58,0.69,0.0,0.61,0.46
wpdev.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.33
