,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.49,0.4,0.31,0.57,0.47,0.38,0.37,0.5,0.46,0.89,0.45,0.45
gwanted.csv,0.89,0.88,0.67,0.75,0.93,0.54,0.85,0.96,0.0,0.0,0.63,0.8
ivatamasks.csv,0.48,0.45,0.4,0.43,0.48,0.53,0.44,0.45,0.4,0.56,0.46,0.47
java-gnome.csv,0.62,0.73,0.61,0.5,0.71,0.64,0.71,0.6,0.43,0.0,0.63,0.6
orc.csv,0.88,0.0,0.94,0.91,0.93,0.72,0.97,0.97,0.5,0.0,0.99,0.67
plato.csv,0.41,0.47,0.41,0.58,0.54,0.44,0.47,0.49,0.57,0.51,0.44,0.54
rodin-b-sharp.csv,0.61,0.67,0.95,0.76,0.94,0.69,0.68,0.96,0.51,0.67,0.67,0.95
tycho.csv,0.51,0.62,0.4,0.5,0.51,0.58,0.55,0.55,0.44,0.58,0.48,0.37
umber.csv,0.58,0.74,0.7,0.57,0.68,0.88,0.58,0.56,0.43,0.78,0.99,0.48
unicase.csv,0.42,0.42,0.41,0.48,0.49,0.4,0.46,0.47,0.41,0.89,0.44,0.53
vienna-add-in.csv,0.53,0.38,0.31,0.43,0.55,0.42,0.45,0.5,0.42,0.38,0.5,0.36
wpdev.csv,0.34,0.39,0.29,0.43,0.4,0.39,0.38,0.4,0.38,0.4,0.39,0.35
