,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.58,0.93,0.94,0.44,0.53,0.69,0.83,0.71,0.86,0.26,0.64,1.0
gwanted.csv,0.11,0.06,0.0,0.04,0.14,0.69,0.4,0.89,0.02,0.0,0.4,0.08
ivatamasks.csv,0.84,0.82,0.75,0.98,0.69,0.74,0.77,0.71,0.89,0.51,0.73,0.67
java-gnome.csv,0.79,0.36,0.56,0.42,0.25,0.33,0.38,0.43,0.98,0.03,0.34,0.31
orc.csv,0.05,0.0,1.0,0.05,0.07,0.36,0.12,0.46,0.04,0.0,0.16,0.05
plato.csv,0.26,0.68,0.62,0.64,0.71,1.0,0.86,0.75,0.6,0.63,0.87,0.7
rodin-b-sharp.csv,0.53,0.55,0.19,0.35,0.13,0.26,0.98,0.18,0.72,0.03,0.41,0.2
tycho.csv,0.63,0.51,0.56,0.74,0.54,0.62,0.55,0.57,0.79,0.94,0.71,0.81
umber.csv,1.0,0.39,0.44,0.44,0.25,0.1,0.4,0.39,0.77,0.2,0.14,0.5
unicase.csv,0.53,0.72,0.75,0.73,0.42,0.55,0.73,0.68,0.77,0.17,1.0,0.56
vienna-add-in.csv,0.89,0.68,0.75,0.88,0.96,0.76,0.66,0.61,0.81,0.77,0.59,0.75
wpdev.csv,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.96,1.0,1.0,1.0,0.98
