,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.25,0.32,0.28,1.0,0.19,0.48,0.38,0.64,0.27,0.64,0.71,0.3
gamestone.csv,0.88,0.1,0.08,0.17,0.1,0.34,0.27,0.0,0.13,0.18,0.2,0.2
geochat.csv,0.38,0.23,0.68,0.7,0.69,0.69,0.92,0.23,0.33,0.55,0.31,0.87
igarden.csv,0.38,0.9,0.2,0.52,0.56,0.52,0.38,0.36,0.33,0.64,0.4,0.27
ingex.csv,0.12,0.23,0.16,0.13,0.2,1.0,0.08,0.09,0.07,0.41,0.09,0.2
lphant.csv,0.75,0.68,0.64,0.26,0.49,0.76,0.81,0.91,0.73,0.73,0.6,0.3
nabu-library.csv,0.75,0.87,0.32,0.78,1.0,0.76,0.46,0.82,0.8,0.77,0.87,0.77
nebuladevice.csv,0.25,0.1,0.28,0.17,0.02,0.21,0.23,0.09,0.93,0.05,0.58,0.17
owlapi.csv,0.0,0.0,0.92,0.0,0.19,0.03,0.04,0.14,0.07,0.09,0.0,0.1
pi-qmc.csv,0.12,0.55,0.4,0.57,0.51,0.69,0.31,0.68,0.4,0.95,0.75,0.57
trinitycore.csv,0.25,0.35,0.6,0.52,0.49,0.52,0.15,0.05,0.2,0.23,0.89,0.23
twostep.csv,0.88,0.74,0.92,0.7,0.75,0.9,0.96,0.64,0.53,0.09,0.73,0.8
