,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.76,0.45,0.5,0.66,0.45,0.35,0.47,0.59,0.4,0.39,0.47
emono.csv,0.45,0.57,0.36,0.5,0.48,0.46,0.54,0.5,0.5,0.39,0.57
haggle.csv,0.36,0.39,0.69,0.79,0.44,0.34,0.93,0.67,0.71,0.65,0.58
hannosset.csv,0.96,0.92,0.8,0.98,0.81,0.78,0.89,0.75,0.91,0.94,0.91
jas.csv,0.76,0.45,0.73,0.51,0.46,0.5,0.46,0.81,0.64,0.54,0.56
jgossipforum.csv,0.44,0.46,0.65,0.95,0.42,0.41,0.44,0.67,0.43,0.36,0.51
madman.csv,0.89,0.45,0.7,0.8,0.5,0.48,0.5,0.68,0.76,0.46,0.6
mediate.csv,0.59,0.5,0.49,0.59,0.53,0.38,0.51,0.74,0.45,0.37,0.57
ngl.csv,0.41,0.49,0.33,0.48,0.43,0.33,0.49,0.44,0.44,0.4,0.43
pustefix.csv,0.67,0.74,0.75,0.86,0.45,0.67,0.75,0.46,0.62,0.47,0.63
synecdoche.csv,0.5,0.92,0.6,0.65,0.4,0.8,0.83,0.54,0.63,0.57,0.44
