,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.62,0.38,0.17,0.17,0.57,0.38,0.15,0.19,0.77,0.95
chaosrts.csv,0.62,0.62,0.17,0.14,0.59,0.53,0.33,0.1,0.62,0.96
lazarus-ccr.csv,0.6,0.76,0.17,0.1,0.52,0.44,0.25,0.22,0.58,0.9
linuxsh.csv,0.65,0.39,0.36,0.24,0.61,0.47,0.0,0.0,0.62,0.88
migen.csv,0.69,0.42,0.19,0.21,0.7,0.62,0.0,0.12,0.62,0.91
moviesandbox.csv,0.73,0.48,0.28,0.18,0.7,0.54,0.33,0.25,0.54,0.89
sauerbraten.csv,0.77,0.49,0.17,0.12,0.61,0.42,0.26,0.23,0.59,0.88
scite-ru.csv,0.66,0.47,0.21,0.13,0.6,0.47,0.44,0.23,0.6,0.88
vrjuggler.csv,0.5,0.57,0.0,0.0,0.4,0.43,0.25,0.36,0.67,0.81
xuggle.csv,0.74,0.53,0.18,0.31,0.62,0.51,0.39,0.13,0.63,0.88
