,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.34,0.38,0.46,0.49,0.43,0.66,0.92,0.48,0.52,0.95
chaosrts.csv,0.38,0.5,0.44,0.51,0.94,0.47,0.47,0.9,0.45,0.47
lazarus-ccr.csv,0.47,0.52,0.44,0.56,0.75,0.47,0.68,0.59,0.52,0.45
linuxsh.csv,0.33,0.61,0.6,0.97,0.41,0.79,0.67,0.0,0.95,0.88
migen.csv,0.36,0.5,0.55,0.73,0.48,0.43,0.67,0.88,0.66,0.41
moviesandbox.csv,0.36,0.63,0.94,0.81,0.39,0.62,0.83,0.75,0.95,0.5
sauerbraten.csv,0.36,0.44,0.45,0.53,0.44,0.45,0.44,0.41,0.55,0.4
scite-ru.csv,0.32,0.35,0.38,0.55,0.39,0.4,0.6,0.38,0.55,0.38
vrjuggler.csv,0.5,0.86,0.0,0.67,0.8,0.86,0.88,0.53,0.83,0.9
xuggle.csv,0.37,0.38,0.41,0.66,0.38,0.38,0.36,0.5,0.39,0.53
