,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,tcl.csv,decidr.csv,glas.csv
chipster.csv,0.0,0.53,0.5,0.0,0.13,0.63,0.52,0.07,0.0
decidr.csv,0.0,0.61,0.0,0.46,0.0,0.37,0.51,0.74,0.36
glas.csv,0.61,0.72,0.52,0.28,0.46,0.58,0.56,0.69,0.63
hatari.csv,0.55,0.68,0.64,0.54,0.27,0.66,0.39,0.47,0.6
ltp.csv,0.4,0.54,0.42,0.68,0.73,0.59,0.61,0.4,0.45
net-snmp.csv,0.68,0.68,0.6,0.5,0.56,0.56,0.53,0.05,0.42
opde.csv,0.0,0.62,0.0,0.66,0.3,0.61,0.0,0.53,0.46
powerfolder-.csv,0.38,0.7,0.36,0.46,0.06,0.28,0.32,0.38,0.19
tcl.csv,0.45,0.43,0.5,0.26,0.61,0.54,0.7,0.42,0.36
