,lazarus-ccr.csv,plee-the-bear.csv,badtrinity-zero.csv,fw4spl.csv,mia.csv,kftpgrabber.csv,kolmafia.csv
badtrinity-zero.csv,0.92,0.67,0.44,0.63,0.64,0.55,0.69
fw4spl.csv,0.78,0.53,0.84,0.56,0.77,0.67,0.96
kftpgrabber.csv,0.86,1.0,0.71,0.69,1.0,0.33,0.7
kolmafia.csv,0.59,0.98,0.66,0.82,0.98,0.74,0.34
lazarus-ccr.csv,0.33,1.09,0.87,0.86,0.9,0.94,0.63
mia.csv,0.63,0.71,0.62,0.83,0.44,0.84,0.62
plee-the-bear.csv,0.92,0.31,0.73,0.54,0.7,0.52,0.66
