,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,98.5,198.0,189.0,761.0,421.0,94.5,774.0,84.5,782.0,1687.0,97.5,195.5,802.5,255.5,96.5
biodwh.csv,98.5,98.5,91.5,550.0,145.0,87.5,285.0,67.5,60.5,97.5,86.5,96.5,285.5,149.0,98.5
brlcad.csv,98.5,594.0,189.0,257.5,114.0,180.0,45.5,159.0,602.5,62.5,97.5,86.5,250.5,0.0,93.5
delphilhlplib.csv,98.5,198.0,193.0,188.0,577.5,545.0,226.5,85.5,970.5,99.0,97.5,294.0,413.5,88.5,98.5
exordium.csv,98.5,198.0,193.0,179.0,90.5,287.5,529.5,84.5,775.5,275.0,97.5,187.5,495.0,260.5,96.5
fltk.csv,98.5,198.0,189.0,188.0,380.0,632.5,615.0,93.5,1499.0,99.0,97.5,489.0,93.5,88.5,98.5
gzigzag.csv,98.5,194.5,184.0,188.0,88.5,274.5,235.5,184.0,673.0,161.5,97.5,194.0,241.5,88.5,88.5
jcache.csv,98.5,495.0,193.0,1045.0,470.5,386.0,674.5,197.5,1248.0,98.5,97.5,294.0,93.5,183.0,98.5
mimosa.csv,98.5,594.0,193.0,476.5,855.0,1019.5,1419.0,198.0,1578.0,99.0,97.5,391.5,190.0,188.0,98.5
moast.csv,98.5,594.0,95.5,465.5,759.5,386.0,997.0,198.0,310.0,99.0,96.5,191.5,384.0,282.5,93.5
mptvseries.csv,98.5,198.0,0.0,351.0,162.0,87.5,585.0,83.5,513.0,97.5,97.5,0.0,241.5,68.5,98.5
ogre.csv,132.0,198.0,188.0,859.0,855.0,386.0,1498.5,99.0,1296.5,99.0,97.5,685.5,93.5,277.5,98.5
qdvdauthor.csv,98.5,594.0,90.5,949.5,566.0,633.5,869.0,197.5,1192.0,99.0,281.5,96.5,384.0,183.0,255.5
sauerbraten.csv,98.5,594.0,94.5,755.0,763.5,730.0,1172.5,198.0,1387.0,99.0,97.5,191.5,384.0,183.0,96.5
zxing.csv,95.5,93.5,192.0,857.0,276.0,178.0,442.0,158.0,1299.0,98.5,97.5,291.5,285.5,375.0,98.5
