,ktc.csv,rosegarden.csv,nosleepsoftware.csv,jbasic.csv,smarttag.csv,alleg.csv,iaml.csv,riff-evolve.csv,adobe-source.csv,xined.csv,wxcode.csv,nebuladevice.csv,pixel-commandos.csv,icescrum.csv,moast.csv,biodwh.csv,zemljanka.csv,factor.csv,natpad.csv,jcache.csv
adobe-source.csv,0.69,0.83,0.67,0.9,0.75,0.89,0.54,0.95,0.83,0.82,0.92,0.88,0.8,0.71,0.89,0.83,0.5,0.67,0.8,0.75
alleg.csv,0.6,0.6,0.6,0.56,0.53,0.55,0.57,0.44,0.53,0.5,0.62,0.49,0.5,0.39,0.43,0.38,0.42,0.51,0.48,0.5
biodwh.csv,0.61,0.58,0.71,0.93,0.67,0.87,0.96,0.78,0.93,0.5,0.75,0.93,0.54,0.8,0.62,0.91,0.93,0.79,0.65,0.79
factor.csv,0.89,0.82,0.5,0.59,0.5,0.54,0.91,0.94,0.6,0.41,0.86,0.75,0.92,0.5,0.96,0.92,0.94,0.52,0.49,0.83
iaml.csv,0.46,0.45,0.39,0.49,0.7,0.32,0.59,0.39,0.47,0.38,0.52,0.51,0.47,0.48,0.55,0.4,0.38,0.43,0.35,0.65
icescrum.csv,0.6,0.6,0.75,0.45,0.53,0.35,0.92,0.65,0.67,0.57,0.91,0.7,0.91,0.58,0.68,0.54,0.42,0.61,0.34,0.82
jbasic.csv,0.72,0.71,0.82,0.57,0.71,0.54,0.63,0.64,0.88,0.48,0.72,0.73,0.92,0.69,0.98,0.69,0.53,0.89,0.49,0.81
jcache.csv,0.53,0.53,0.65,0.41,0.54,0.45,0.43,0.48,0.51,0.63,0.54,0.41,0.77,0.34,0.75,0.32,0.45,0.8,0.43,0.45
ktc.csv,0.49,0.62,0.88,0.52,0.5,0.42,0.56,0.72,0.6,0.53,0.71,0.6,0.58,0.53,0.56,0.52,0.64,0.69,0.48,0.67
moast.csv,0.95,0.98,0.9,0.89,0.85,0.95,0.97,0.93,0.93,0.5,0.91,0.89,0.83,0.86,0.42,0.9,0.96,0.5,0.71,0.91
natpad.csv,0.45,0.6,0.8,0.54,0.42,0.56,0.67,0.5,0.54,0.4,0.79,0.59,0.54,0.37,0.42,0.44,0.46,0.6,0.57,0.67
nebuladevice.csv,0.85,0.97,0.72,0.97,0.0,0.62,0.75,0.86,0.93,0.75,0.83,0.93,0.89,0.67,0.93,0.88,0.83,0.94,0.94,0.75
nosleepsoftware.csv,0.98,0.77,0.71,0.94,0.0,0.73,0.9,0.83,0.94,0.5,0.73,0.82,0.88,0.86,0.94,0.81,0.47,0.86,0.78,0.67
pixel-commandos.csv,0.97,0.97,0.0,0.92,0.86,0.94,0.93,0.8,0.93,0.75,0.67,0.8,0.75,0.75,0.95,0.88,0.92,0.8,0.72,0.8
riff-evolve.csv,0.41,0.45,0.56,0.45,0.57,0.41,0.45,0.56,0.44,0.36,0.52,0.39,0.39,0.34,0.44,0.33,0.43,0.41,0.4,0.46
rosegarden.csv,0.52,0.66,0.62,0.48,0.48,0.54,0.59,0.69,0.59,0.58,0.86,0.59,0.61,0.52,0.64,0.53,0.58,0.57,0.56,0.79
smarttag.csv,0.75,0.98,0.82,0.65,0.77,0.83,0.68,0.67,0.94,0.55,0.88,0.89,0.92,0.5,0.96,0.7,0.98,0.77,0.43,0.67
wxcode.csv,0.97,0.97,0.0,0.8,0.0,0.91,0.93,0.67,0.9,0.86,0.86,0.83,0.83,0.86,0.88,0.8,0.9,0.75,0.67,0.75
xined.csv,0.87,0.92,0.67,0.7,0.51,0.5,0.63,0.73,0.97,0.9,0.92,0.93,0.88,0.56,0.41,0.8,0.47,0.46,0.45,0.88
zemljanka.csv,0.37,0.41,0.42,0.43,0.43,0.44,0.4,0.44,0.44,0.4,0.41,0.32,0.43,0.3,0.39,0.35,0.45,0.42,0.43,0.51
