,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.67,0.4,0.5,0.67,0.56,0.96,0.46,0.4,0.5,0.26,0.2,0.77,0.7,0.59,0.43
autowikibrowser.csv,0.5,0.67,0.27,1.0,0.5,0.55,0.43,0.37,0.62,0.62,0.5,0.45,0.93,0.82,0.49
blue-c.csv,0.33,0.5,0.44,0.78,0.31,0.56,0.37,0.93,0.75,0.48,0.9,0.64,0.48,0.64,0.57
dynalloy.csv,0.58,0.53,0.98,0.44,0.62,0.56,0.78,0.73,0.62,0.98,0.6,0.82,0.57,0.82,0.43
hydrogen.csv,0.17,0.33,0.1,0.33,0.12,0.21,0.16,0.1,1.0,0.5,0.3,0.09,0.18,0.5,0.19
jcae.csv,0.0,0.03,0.12,1.0,0.0,0.08,0.05,0.0,0.06,0.12,0.1,0.18,0.18,0.0,0.04
lphant.csv,0.67,0.63,0.81,1.0,0.81,0.8,0.73,0.7,0.69,0.76,0.6,0.91,0.66,0.95,0.62
nosleepsoftware.csv,0.5,0.47,0.1,0.78,1.0,0.32,0.16,0.17,0.5,0.52,0.3,0.09,0.36,0.95,0.47
qgo.csv,0.42,1.0,0.19,0.78,0.44,0.47,0.19,0.23,0.44,0.57,0.5,0.5,0.59,0.59,0.43
quickfast.csv,0.58,0.6,0.52,0.78,0.56,0.64,0.57,0.4,0.62,0.67,0.6,0.82,0.89,0.64,0.96
rhex.csv,1.0,0.4,0.13,0.0,0.62,0.16,0.29,0.13,0.44,0.43,0.2,0.0,0.09,0.64,0.11
rocrail.csv,0.33,0.33,0.17,0.22,0.06,0.38,0.14,0.23,0.38,0.43,0.3,0.32,0.2,1.0,0.17
virtuoso.csv,0.17,0.9,0.81,0.89,0.44,0.81,0.75,0.83,0.75,0.95,0.3,0.77,0.84,0.86,0.3
xined.csv,0.17,0.8,0.35,0.44,0.0,0.51,0.11,0.23,0.31,0.1,0.8,0.45,0.23,0.14,0.11
yield.csv,0.5,0.73,0.58,1.0,0.62,0.69,0.98,0.53,0.69,0.83,0.9,0.77,0.75,0.77,0.79
