,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.48,0.34,0.41,0.53,0.34,0.0,0.34,0.24,0.25,0.32,0.37,0.73,0.63,0.54,0.34
autowikibrowser.csv,0.22,0.26,0.27,0.57,0.13,0.28,0.13,0.08,0.09,0.41,0.3,0.06,0.0,0.3,0.22
blue-c.csv,0.35,0.49,0.35,0.43,0.49,0.45,0.22,0.0,0.67,0.61,0.51,0.45,0.46,0.39,0.44
dynalloy.csv,0.59,0.4,0.0,0.71,0.64,0.37,0.51,0.4,0.43,0.95,0.77,0.7,0.54,0.68,0.22
hydrogen.csv,0.07,0.26,0.08,0.09,0.0,0.07,0.07,0.0,0.0,0.24,0.02,0.0,0.13,0.12,0.12
jcae.csv,0.01,0.0,0.1,0.0,0.0,0.03,0.0,0.0,0.01,0.06,0.0,0.03,0.04,0.0,0.03
lphant.csv,0.32,0.57,0.75,0.84,0.68,0.7,0.5,0.36,0.43,0.76,0.44,0.0,0.5,0.55,0.34
nosleepsoftware.csv,0.36,0.29,0.29,0.44,0.0,0.2,0.09,0.48,0.05,0.39,0.26,0.06,0.19,0.68,0.09
qgo.csv,0.25,0.0,0.18,0.37,0.11,0.26,0.04,0.04,0.13,0.29,0.21,0.36,0.31,0.28,0.16
quickfast.csv,0.42,0.43,0.52,0.62,0.23,0.51,0.46,0.12,0.31,0.45,0.47,0.76,0.59,0.41,0.0
rhex.csv,0.0,0.31,0.07,0.15,0.13,0.12,0.24,0.04,0.08,0.25,0.09,0.0,0.15,0.3,0.06
rocrail.csv,0.07,0.06,0.13,0.08,0.06,0.14,0.04,0.04,0.08,0.25,0.12,0.06,0.04,0.0,0.06
virtuoso.csv,0.26,0.83,0.9,0.91,0.68,0.82,0.74,0.76,0.5,0.0,0.16,0.76,0.78,0.74,0.34
xined.csv,0.02,0.86,0.51,0.19,0.02,0.61,0.0,0.04,0.05,0.04,0.0,0.21,0.06,0.02,0.0
yield.csv,0.4,0.37,0.46,0.66,0.47,0.5,0.01,0.12,0.4,0.55,0.65,0.55,0.5,0.38,0.56
