,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.49,0.2,0.0,0.58,0.64,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.33,0.17,0.0,0.0
codepurge.csv,0.54,0.68,0.53,0.31,0.41,0.48,0.88,0.59,0.13,0.54,0.31,0.51,0.13,0.65,0.56,0.47,0.1
fontforge.csv,0.23,0.45,0.0,0.0,0.05,0.66,0.24,0.69,0.34,0.0,0.59,0.41,0.49,0.17,0.05,0.37,0.17
glas.csv,0.64,0.65,0.65,0.4,0.48,0.55,0.75,0.52,0.63,0.53,0.57,0.51,0.65,0.59,0.0,0.65,0.58
gmerlin.csv,0.02,0.45,0.57,0.36,0.0,0.58,0.24,0.0,0.59,0.0,0.53,0.68,0.64,0.41,0.0,0.6,0.48
hatari.csv,0.59,0.73,0.69,0.52,0.44,0.6,0.51,0.24,0.4,0.45,0.59,0.21,0.53,0.2,0.27,0.45,0.24
jcl.csv,0.72,0.56,0.62,0.5,0.7,0.57,0.73,0.58,0.46,0.32,0.57,0.2,0.06,0.49,0.59,0.42,0.58
ltp.csv,0.36,0.57,0.42,0.61,0.73,0.59,0.0,0.25,0.52,0.6,0.63,0.69,0.47,0.51,0.59,0.35,0.63
mia.csv,0.48,0.19,0.49,0.48,0.05,0.28,0.9,0.69,0.42,0.2,0.44,0.64,0.06,0.0,0.17,0.39,0.25
net-snmp.csv,0.65,0.43,0.44,0.58,0.52,0.35,0.93,0.0,0.46,0.5,0.51,0.65,0.42,0.33,0.17,0.32,0.29
opde.csv,0.0,0.55,0.0,0.63,0.0,0.62,0.92,0.42,0.64,0.0,0.65,0.13,0.17,0.52,0.47,0.41,0.37
oppna-program-hsatools.csv,0.61,0.7,0.66,0.0,0.63,0.55,0.24,0.13,0.34,0.21,0.86,0.05,0.34,0.29,0.66,0.64,0.46
powerfolder-.csv,0.61,0.75,0.52,0.39,0.29,0.27,0.89,0.2,0.73,0.62,0.58,0.41,0.1,0.05,0.56,0.58,0.41
qlc.csv,0.12,0.68,0.12,0.55,0.29,0.53,0.89,0.15,0.61,0.4,0.36,0.48,0.36,0.34,0.54,0.04,0.33
quantlib.csv,0.52,0.32,0.43,0.41,0.02,0.29,0.9,0.0,0.42,0.48,0.37,0.55,0.36,0.15,0.0,0.51,0.59
tcl.csv,0.47,0.48,0.5,0.17,0.6,0.54,0.0,0.0,0.58,0.71,0.56,0.32,0.32,0.35,0.0,0.14,0.52
