,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.74,1.0,0.31,0.4,0.32,0.4,0.49,0.16,0.67,0.37,0.32,0.41,0.65
emulemorph.csv,0.31,0.28,0.21,0.2,0.3,0.0,0.52,0.05,0.29,0.28,0.0,0.61,0.0
gisgraphy.csv,0.0,0.0,0.14,0.17,0.07,0.0,0.41,0.26,0.11,0.17,0.28,0.04,0.23
jaxen.csv,0.87,0.92,0.62,0.6,0.8,0.8,0.9,0.1,0.87,0.78,0.15,0.8,0.71
jvcl.csv,0.13,0.01,0.3,0.12,0.46,0.0,0.08,0.62,0.45,0.11,0.05,0.66,0.54
m-m-m.csv,0.54,0.49,0.84,0.77,0.9,0.3,0.97,0.99,0.62,0.87,0.88,0.41,0.96
motu.csv,0.44,0.67,0.94,0.89,0.96,0.6,0.13,0.98,0.64,0.24,0.93,0.89,0.92
nh3d.csv,0.56,0.01,0.0,1.0,1.0,1.0,1.0,1.0,0.04,1.0,1.0,1.0,1.0
sarasvati.csv,0.21,0.44,0.5,0.29,0.42,0.2,0.43,0.96,0.21,0.43,0.88,0.23,0.69
wgs-assembler.csv,0.33,0.97,0.91,0.86,0.91,0.0,0.87,1.0,0.8,0.91,0.84,0.56,0.5
zabbix.csv,0.81,0.16,1.0,0.7,0.36,0.3,0.41,0.37,0.44,0.83,0.28,0.57,0.38
