,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.38,0.18,0.07,0.06,0.61,0.08,0.12,0.15,0.16,0.21,0.2,0.33,0.38,0.33
boost-sandbox.csv,0.51,0.04,0.02,0.06,0.17,0.03,0.46,0.51,0.35,0.24,0.48,0.54,0.58,1.0
customwars.csv,0.32,0.31,0.23,0.46,0.56,0.41,0.0,0.0,0.23,0.3,0.27,0.48,0.08,0.0
dvd-create.csv,0.6,0.8,0.81,0.81,0.06,0.85,0.66,0.74,0.68,0.61,0.68,0.49,0.68,0.33
frogatto.csv,0.76,0.31,0.23,0.67,0.39,0.49,0.2,0.57,0.42,0.0,0.57,0.55,0.43,0.67
glelite.csv,1.0,0.8,0.85,0.88,0.83,1.0,1.0,1.0,1.0,0.94,0.98,1.0,0.95,0.0
go.csv,0.68,0.0,0.52,0.75,0.33,0.85,0.0,0.98,0.55,0.45,0.8,0.7,0.61,0.0
irplus.csv,0.16,0.07,0.04,0.23,0.17,0.15,0.07,0.31,0.26,0.06,0.0,0.04,0.03,0.0
lsb.csv,0.73,0.73,0.01,0.73,0.39,0.49,0.0,0.92,0.74,0.64,0.89,0.54,0.66,0.0
moving-pictures.csv,0.35,0.29,0.64,0.56,0.22,0.82,0.95,0.61,0.03,0.58,0.34,0.7,0.49,0.67
mpgravity.csv,0.52,0.33,0.44,0.75,0.56,0.67,0.0,0.24,0.48,0.48,0.55,0.66,0.47,0.33
plearn.csv,0.01,0.84,0.58,0.77,0.67,0.74,0.76,0.26,0.71,0.52,0.52,0.19,0.72,0.33
rebecca-aiml.csv,0.12,0.78,0.4,0.79,0.39,0.36,0.07,0.21,0.48,0.3,0.32,0.0,0.38,0.33
wxcode.csv,0.05,0.0,0.0,0.19,0.0,0.0,0.07,0.03,0.03,0.0,0.05,0.08,0.0,0.0
