,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.77,0.95,0.94,0.5,0.63,0.95,0.91,0.94,0.91,0.7,0.92,0.89,0.58,0.71
boost-sandbox.csv,0.49,0.9,0.67,0.67,0.92,0.47,0.48,0.52,0.44,0.52,0.52,0.56,0.52,0.59
customwars.csv,0.81,0.96,0.72,0.59,0.76,0.74,0.5,0.93,0.87,0.81,0.68,0.74,0.83,0.92
dvd-create.csv,0.45,0.38,0.61,0.35,0.39,0.39,0.38,0.37,0.32,0.39,0.4,0.48,0.4,0.43
frogatto.csv,0.47,0.42,0.58,0.37,0.36,0.49,0.92,0.43,0.62,0.5,0.42,0.6,0.49,0.47
glelite.csv,0.39,0.39,0.63,0.37,0.38,0.39,0.38,0.33,0.29,0.42,0.34,0.4,0.41,0.49
go.csv,0.43,0.46,0.71,0.35,0.46,0.4,0.0,0.34,0.34,0.38,0.36,0.52,0.47,0.51
irplus.csv,0.61,0.8,0.58,0.45,0.92,0.86,0.83,0.74,0.77,0.67,0.6,0.85,0.67,0.93
lsb.csv,0.4,0.37,0.58,0.35,0.38,0.44,0.0,0.31,0.29,0.42,0.33,0.47,0.44,0.47
moving-pictures.csv,0.51,0.56,0.87,0.46,0.73,0.42,0.41,0.44,0.48,0.53,0.53,0.56,0.6,0.62
mpgravity.csv,0.55,0.69,0.72,0.38,0.52,0.48,0.75,0.68,0.5,0.62,0.46,0.59,0.56,0.58
plearn.csv,0.79,0.6,0.66,0.4,0.59,0.49,0.54,0.73,0.39,0.59,0.53,0.65,0.48,0.64
rebecca-aiml.csv,0.86,0.55,0.74,0.38,0.55,0.66,0.8,0.7,0.52,0.78,0.63,0.67,0.64,0.82
wxcode.csv,0.95,0.9,0.75,0.65,0.8,0.75,0.75,0.75,0.67,0.5,0.83,0.92,0.86,0.8
