,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.34,0.15,0.13,0.91,0.32,0.17,0.5,0.24,0.21,0.36,0.12,0.19,0.29,0.45
boost-sandbox.csv,0.68,0.23,0.0,0.0,0.12,0.98,0.67,0.35,0.5,0.53,0.48,0.78,0.86,0.61
customwars.csv,0.29,0.18,0.42,0.35,0.26,0.35,0.17,0.88,0.29,0.17,0.4,0.59,0.0,0.08
dvd-create.csv,0.73,0.92,0.76,0.85,0.99,0.75,0.58,0.71,0.82,0.86,0.72,0.72,0.86,0.63
frogatto.csv,0.85,0.73,0.62,0.7,0.77,0.42,0.33,0.65,0.39,0.94,0.8,0.54,0.86,0.68
glelite.csv,1.0,0.96,0.78,0.94,0.96,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0
go.csv,0.81,1.0,0.42,0.78,0.62,0.89,0.0,1.0,0.75,0.75,0.8,0.57,0.71,0.5
irplus.csv,0.37,0.22,0.42,0.5,0.12,0.15,0.25,0.12,0.18,0.28,1.0,0.28,0.14,0.09
lsb.csv,0.78,0.77,0.71,0.85,0.82,0.49,0.0,0.94,0.79,0.86,0.88,0.76,1.0,0.51
moving-pictures.csv,0.58,0.58,0.36,0.59,0.35,0.82,0.83,0.76,1.0,0.53,0.6,0.65,0.71,0.63
mpgravity.csv,0.61,0.38,0.4,0.69,0.46,0.65,1.0,0.47,0.54,0.36,0.52,0.67,0.71,0.39
plearn.csv,0.78,0.41,0.76,0.74,0.5,0.75,0.33,0.29,0.68,0.56,0.52,0.85,1.0,0.6
rebecca-aiml.csv,0.29,0.51,0.47,0.74,0.57,0.28,0.17,0.59,0.5,0.36,0.52,1.0,0.57,0.22
wxcode.csv,0.2,0.13,0.09,0.26,0.07,0.04,0.08,0.06,0.07,0.06,0.16,0.04,1.0,0.17
