,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.76,0.87,0.87,0.11,0.91,0.84,0.51,0.78,0.8,0.67,0.9,0.88,0.81,0.64
boost-sandbox.csv,0.6,0.77,1.0,1.0,0.89,0.03,0.57,0.82,0.61,0.53,0.71,0.58,0.6,1.07
customwars.csv,0.78,0.88,0.62,0.79,0.93,0.77,0.83,0.12,0.75,0.89,0.66,0.63,1.0,0.92
dvd-create.csv,0.66,0.8,0.85,0.83,0.06,0.88,0.78,0.79,0.7,0.62,0.74,0.57,0.7,0.5
frogatto.csv,0.78,0.41,0.44,0.73,0.45,0.76,0.69,0.67,0.74,0.06,0.6,0.72,0.46,0.74
glelite.csv,1.0,0.8,0.88,0.88,0.83,1.0,1.0,1.0,1.0,0.94,0.98,1.0,0.95,0.0
go.csv,0.71,0.0,0.78,0.78,0.5,0.85,1.0,0.98,0.6,0.52,0.82,0.82,0.67,0.5
irplus.csv,0.65,0.79,0.58,0.55,0.89,0.87,0.75,0.93,0.86,0.72,0.0,0.72,0.86,0.91
lsb.csv,0.77,0.77,0.29,0.74,0.43,0.71,1.0,0.92,0.77,0.65,0.89,0.59,0.66,0.49
moving-pictures.csv,0.55,0.51,0.9,0.69,0.69,0.84,0.97,0.65,0.03,0.74,0.53,0.79,0.56,0.76
mpgravity.csv,0.65,0.7,0.74,0.81,0.78,0.75,0.0,0.58,0.67,0.8,0.73,0.74,0.55,0.7
plearn.csv,0.22,1.03,0.63,0.81,0.83,0.78,1.01,0.75,0.78,0.68,0.71,0.24,0.72,0.52
rebecca-aiml.csv,0.72,0.92,0.67,0.83,0.58,0.81,0.84,0.46,0.7,0.71,0.58,0.0,0.57,0.85
wxcode.csv,0.8,0.87,0.91,0.76,0.93,0.96,0.92,0.94,0.93,0.94,0.84,0.97,0.0,0.83
