,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,1.0,1.0,0.5,0.5,0.94,1.0,0.96,0.92,0.97,0.76,1.0,1.0
dsworkbench.csv,0.26,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.77,1.0,1.0,1.0
gogoego.csv,0.67,0.68,0.86,0.98,1.0,0.93,0.89,1.0,0.65,0.88,0.75,1.0
jpaul.csv,1.0,1.0,1.0,0.12,0.9,1.0,1.0,0.92,1.0,1.0,1.0,1.0
loki-lib.csv,0.88,1.0,0.78,0.77,0.62,0.77,0.66,0.98,0.67,0.86,0.42,1.0
motu.csv,1.0,1.0,1.0,1.0,0.97,1.0,0.15,1.0,1.0,0.94,1.0,1.0
mp-rechnungs-und-kundenverwaltung.csv,0.86,0.98,0.63,0.88,0.63,0.72,0.44,0.87,0.54,0.71,0.43,1.0
rtrt-on-gpu.csv,1.0,1.0,1.0,0.94,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
scenemonitor.csv,1.0,1.0,1.0,0.51,0.24,1.0,1.0,0.61,1.0,0.9,1.0,1.0
xstore.csv,0.77,0.99,0.59,0.98,1.0,0.73,1.0,0.92,0.71,0.33,0.55,1.0
yarp0.csv,0.88,1.0,0.84,0.79,0.78,0.26,0.76,0.88,0.86,0.79,0.55,1.0
zemljanka.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
