,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,0.34,0.44,0.38,0.36,0.33,0.35,0.32,0.37,0.44,0.44,0.34,0.5,0.31,0.41,0.47,0.42,0.38,0.43
fbmanager.csv,0.46,0.58,0.56,0.44,0.37,0.38,0.4,0.56,0.47,0.48,0.42,0.62,0.31,0.47,0.52,0.9,0.98,0.62
freenet.csv,0.38,0.55,0.33,0.51,0.47,0.48,0.43,0.59,0.45,0.33,0.34,0.48,0.71,0.71,0.55,0.39,0.54,0.47
geogebra.csv,0.57,0.42,0.48,0.4,0.33,0.34,0.32,0.41,0.44,0.39,0.57,0.36,0.44,0.38,0.48,0.55,0.42,0.47
google-caja.csv,0.29,0.38,0.3,0.37,0.34,0.32,0.32,0.36,0.42,0.31,0.33,0.33,0.3,0.31,0.36,0.33,0.4,0.38
hibernate.csv,0.42,0.49,0.37,0.44,0.44,0.5,0.47,0.42,0.48,0.48,0.39,0.52,0.44,0.52,0.49,0.5,0.58,0.49
illumination.csv,0.35,0.5,0.33,0.43,0.36,0.43,0.96,0.51,0.0,0.33,0.54,0.47,0.0,0.0,0.47,0.62,0.0,0.0
kindb.csv,0.36,0.52,0.92,0.64,0.68,0.78,0.45,0.51,0.53,0.52,0.79,0.34,0.31,0.32,0.56,0.79,0.6,0.75
officefloor.csv,0.48,0.57,0.86,0.75,0.52,0.64,0.55,0.68,0.53,0.56,0.89,0.6,0.5,0.75,0.5,0.67,0.58,0.71
paintown.csv,0.34,0.43,0.47,0.43,0.41,0.41,0.49,0.47,0.49,0.35,0.36,0.71,0.39,0.36,0.62,0.53,0.53,0.41
poormans.csv,0.77,0.9,0.45,0.67,0.43,0.54,0.42,0.89,0.69,0.42,0.74,0.83,0.0,0.0,0.5,0.7,0.98,0.63
qlc.csv,0.38,0.48,0.5,0.5,0.45,0.47,0.38,0.42,0.54,0.45,0.5,0.44,0.67,0.49,0.63,0.4,0.45,0.98
repositorium.csv,0.96,0.79,0.93,0.69,0.81,0.66,0.64,0.9,0.99,0.0,0.87,0.62,0.0,0.58,0.96,0.94,0.98,0.94
sevenupdate.csv,0.3,0.46,0.36,0.4,0.39,0.59,0.41,0.42,0.45,0.48,0.37,0.39,0.42,0.41,0.45,0.45,0.45,0.43
sqlpower-library.csv,0.49,0.44,0.33,0.45,0.46,0.44,0.38,0.45,0.55,0.32,0.42,0.47,0.86,0.74,0.47,0.33,0.52,0.5
triplea.csv,0.32,0.49,0.4,0.4,0.35,0.46,0.35,0.45,0.51,0.34,0.36,0.42,0.29,0.39,0.44,0.43,0.45,0.4
yarp0.csv,0.45,0.5,0.38,0.4,0.54,0.45,0.39,0.42,0.53,0.54,0.38,0.57,0.48,0.41,0.53,0.37,0.58,0.46
