,rhex.csv,jcae.csv,popeye-chess.csv,openmalaria.csv,archive-crawler.csv,acdk.csv,truevision.csv,rocrail.csv
acdk.csv,0.38,0.22,0.33,0.22,0.49,0.99,0.46,0.46
archive-crawler.csv,0.1,0.09,0.37,0.45,1.0,0.45,0.43,0.41
jcae.csv,0.0,1.0,0.0,0.05,0.13,0.07,0.05,0.0
openmalaria.csv,0.35,0.22,0.63,0.99,0.42,0.48,0.58,0.51
popeye-chess.csv,0.27,0.26,1.0,0.72,0.42,0.58,0.59,0.51
rhex.csv,0.91,0.15,0.36,0.44,0.39,0.21,0.33,0.55
rocrail.csv,0.3,0.4,0.62,0.21,0.31,0.51,0.37,0.98
truevision.csv,0.31,0.21,0.72,0.67,0.45,0.4,0.99,0.32
