,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.55,0.53,0.64,0.61,0.55,0.65,0.54,0.96,0.54,0.37,0.43,0.93,0.51,0.52,0.74
cornerstone.csv,0.97,0.76,0.59,0.97,0.46,0.44,0.75,0.85,0.63,0.5,0.81,0.84,0.41,0.42,1.0
esmf.csv,0.77,0.5,0.92,0.64,0.61,0.94,0.57,0.6,0.63,0.82,0.62,0.81,0.86,0.7,0.91
frogatto.csv,0.51,0.6,0.58,0.67,0.76,0.65,0.59,0.97,0.51,0.54,0.72,0.97,0.43,0.75,0.66
gretl.csv,0.7,0.61,0.86,0.6,0.64,0.55,0.94,0.72,0.46,0.69,0.59,0.62,0.88,0.32,0.52
kindb.csv,0.72,0.62,0.84,0.62,0.47,0.86,0.7,0.71,0.72,0.9,0.59,0.6,0.54,0.22,0.56
libtorrent.csv,0.83,0.69,0.67,0.67,0.88,0.84,0.96,0.67,0.56,0.65,0.35,0.62,0.63,0.75,0.9
mia.csv,0.58,0.8,0.96,0.65,0.8,0.66,0.87,0.49,0.63,0.76,0.73,0.81,1.0,0.65,0.75
open-beos.csv,0.6,0.52,0.66,0.49,0.5,0.72,0.74,0.61,0.53,0.6,0.46,0.58,0.64,0.81,0.67
pidgin.csv,0.7,0.72,0.74,0.57,0.44,0.72,0.64,0.67,0.6,0.77,0.58,0.59,0.48,0.59,0.71
quantlib.csv,0.7,1.0,1.0,1.0,1.0,0.76,0.93,0.89,1.0,1.0,0.76,0.94,1.0,1.0,0.45
riff-evolve.csv,0.65,0.52,0.57,0.59,0.44,0.6,0.37,0.59,0.7,0.75,0.55,0.42,0.43,0.53,0.85
tokratan.csv,0.51,0.55,0.86,0.62,0.85,0.64,0.47,0.99,0.52,0.6,0.47,0.6,0.81,0.39,0.97
upp-mirror.csv,0.78,0.6,0.5,0.64,0.56,0.73,0.57,0.54,0.69,0.9,0.55,0.71,0.61,0.56,0.43
wxcrp.csv,0.48,0.95,0.76,0.96,0.69,0.77,0.83,0.99,0.5,0.44,0.65,1.0,0.62,0.71,0.75
