,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.74,0.62,0.52,0.69,0.59,0.6,0.6,0.63,0.41,0.58,0.54,0.56
codesmith.csv,0.47,0.47,0.61,0.45,0.63,0.55,0.42,0.63,0.71,0.42,0.62,0.86
icescrum.csv,0.69,0.49,0.37,0.4,0.49,0.35,0.54,0.67,0.35,0.21,0.83,0.19
ingex.csv,0.62,0.48,0.49,0.54,0.67,0.54,0.58,0.58,0.26,0.52,0.59,0.52
jrefactory.csv,0.44,0.49,0.73,0.42,0.32,0.17,0.36,0.6,0.29,0.39,0.29,0.38
jsecurity.csv,0.3,0.56,0.36,0.7,0.19,0.56,0.44,0.32,0.56,0.17,0.19,0.65
libopenmetaverse.csv,0.0,0.05,0.13,0.0,0.3,0.63,0.0,0.35,0.27,0.31,0.13,0.73
lite.csv,0.18,0.48,0.55,0.48,0.27,0.6,0.53,0.38,0.8,0.58,0.13,0.11
mobicents.csv,0.71,0.68,0.47,0.5,0.6,0.4,0.68,0.39,0.5,0.38,0.62,0.26
opendvr.csv,0.64,0.57,0.32,0.36,0.48,0.13,0.56,0.53,0.59,0.74,0.56,0.38
openefm.csv,0.53,0.69,0.38,0.59,0.23,0.63,0.58,0.34,0.09,0.6,0.57,0.54
sidekar.csv,0.0,0.44,0.0,0.0,0.73,0.0,0.0,0.0,0.55,0.09,0.0,0.0
