,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.92,0.78,0.65,0.74,0.64,0.76,0.9,0.53,0.55,0.82
fritzing.csv,0.42,0.42,0.43,0.65,0.65,0.65,0.9,0.75,0.61,0.55
jlinalg.csv,0.22,0.61,0.94,0.85,0.47,0.8,1.06,0.93,0.77,0.79
knowledge.csv,1.0,1.0,0.99,1.0,0.6,0.97,0.96,0.82,0.9,0.98
massiv.csv,0.92,0.72,0.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0
multitude.csv,0.82,0.76,0.75,0.83,0.64,0.8,0.67,0.69,0.88,0.43
playerstage.csv,0.98,0.62,0.65,0.37,0.49,0.61,0.9,0.65,0.73,0.59
quarkplusplus.csv,0.51,0.39,0.6,0.66,0.34,0.41,0.91,0.98,0.55,0.63
rtrt-on-gpu.csv,0.92,0.87,0.95,0.96,1.12,1.02,0.31,1.0,0.94,0.89
superwaba.csv,0.56,0.33,0.53,0.56,0.63,0.43,0.83,0.61,0.76,0.57
