,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.03,0.57,0.64,0.6,0.67,0.58,0.98,0.44,0.61,0.75,0.81,0.42,0.42
bscwweasel.csv,0.21,0.14,0.23,1.0,0.62,0.08,0.1,0.02,0.0,0.11,0.0,0.22,0.16
capcode.csv,0.0,0.21,0.48,0.45,0.0,1.0,0.21,0.29,0.35,0.13,0.45,0.2,0.27
emite.csv,0.33,0.71,0.23,0.15,0.24,0.08,0.33,0.24,0.13,0.24,0.97,0.35,0.13
geogebra.csv,0.04,0.29,0.84,0.75,0.71,0.67,0.06,0.87,0.65,0.82,0.65,0.93,0.88
hibernate.csv,0.26,0.21,0.57,0.75,0.62,0.33,0.17,0.4,0.26,0.94,0.03,0.6,0.33
lamp.csv,0.01,1.0,0.16,0.2,0.19,0.17,0.11,0.04,0.26,0.12,0.03,0.3,0.1
nodal.csv,0.04,0.57,0.27,0.4,0.43,0.25,0.45,0.24,0.91,0.4,0.48,0.36,0.1
retromenu.csv,0.52,0.21,0.34,0.3,0.9,0.25,0.27,0.2,0.35,0.25,0.06,0.6,0.06
smbopensoft.csv,0.94,0.5,0.43,0.25,0.67,0.25,0.35,0.25,0.43,0.34,0.16,0.57,0.31
stuproa-cims.csv,0.97,0.36,0.55,0.55,0.95,0.58,0.39,0.98,0.7,0.47,0.45,0.74,0.73
thout.csv,0.05,0.36,0.91,0.65,0.81,0.75,0.64,0.65,0.65,0.75,0.68,0.49,0.26
uface.csv,1.0,1.0,0.93,0.9,1.0,0.92,1.0,0.75,0.83,0.78,0.77,0.99,0.99
