,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,2.0,13.0,1.0,24.0,10.0,0.0,0.0,1.0,2.0,6.0,2.0,4.0,11.0
bscwweasel.csv,6.0,3.0,2.0,0.0,4.0,1.0,1.0,1.0,85.0,4.0,70.0,2.0,1.0
capcode.csv,199.0,32.0,1.0,19.0,65.0,0.0,1.0,2.0,2.0,0.0,3.0,9.0,7.0
emite.csv,1.0,10.0,0.0,5.0,4.0,17.0,1.0,2.0,2.0,34.0,0.0,11.0,4.0
geogebra.csv,4.0,17.0,2.0,49.0,13.0,0.0,0.0,6.0,1.0,13.0,2.0,0.0,0.0
hibernate.csv,0.0,3.0,13.0,43.0,4.0,10.0,1.0,9.0,3.0,0.0,2.0,6.0,1.0
lamp.csv,1.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0
nodal.csv,0.0,12.0,1.0,19.0,5.0,11.0,2.0,6.0,0.0,16.0,2.0,20.0,0.0
retromenu.csv,5.0,15.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
smbopensoft.csv,0.0,19.0,8.0,4.0,3.0,8.0,0.0,3.0,0.0,4.0,2.0,0.0,6.0
stuproa-cims.csv,1.0,15.0,15.0,25.0,8.0,10.0,1.0,0.0,2.0,5.0,3.0,14.0,0.0
thout.csv,1.0,13.0,0.0,44.0,10.0,0.0,2.0,5.0,1.0,13.0,2.0,9.0,0.0
uface.csv,1.0,13.0,2.0,16.0,7.0,0.0,2.0,6.0,1.0,1.0,2.0,0.0,0.0
