,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.06,0.21,0.47,0.23,0.53,0.21,0.99,0.28,0.39,0.41,0.56,0.3,0.48
bscwweasel.csv,0.31,0.18,0.33,1.0,0.59,0.12,0.18,0.04,0.0,0.18,0.0,0.29,0.26
capcode.csv,0.0,0.12,0.43,0.25,0.0,1.0,0.33,0.37,0.33,0.2,0.49,0.18,0.4
emite.csv,0.36,0.14,0.23,0.15,0.25,0.05,0.44,0.21,0.21,0.25,0.97,0.31,0.22
geogebra.csv,0.08,0.13,0.35,0.18,0.39,0.2,0.12,0.4,0.38,0.41,0.48,0.95,0.76
hibernate.csv,0.39,0.13,0.32,0.25,0.45,0.18,0.27,0.36,0.26,0.96,0.05,0.36,0.48
lamp.csv,0.02,0.97,0.23,0.27,0.3,0.22,0.2,0.07,0.36,0.2,0.06,0.39,0.18
nodal.csv,0.08,0.24,0.34,0.21,0.47,0.15,0.54,0.22,0.95,0.39,0.49,0.36,0.15
retromenu.csv,0.61,0.1,0.39,0.32,0.95,0.18,0.39,0.32,0.33,0.33,0.12,0.47,0.11
smbopensoft.csv,0.96,0.23,0.37,0.19,0.52,0.17,0.47,0.25,0.5,0.36,0.24,0.44,0.44
stuproa-cims.csv,0.65,0.25,0.29,0.24,0.53,0.24,0.5,0.99,0.39,0.41,0.41,0.37,0.69
thout.csv,0.1,0.13,0.94,0.18,0.47,0.22,0.69,0.39,0.44,0.4,0.53,0.3,0.33
uface.csv,0.66,0.18,0.37,0.29,0.52,0.27,0.85,0.4,0.4,0.45,0.62,0.39,0.99
