,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.97,0.6,0.48,0.65,0.52,0.81,0.03,0.83,0.67,0.82,0.85,0.7,0.87
bscwweasel.csv,0.8,0.86,0.77,0.0,0.44,0.92,0.9,0.98,1.0,0.89,1.0,0.79,0.85
capcode.csv,1.0,0.83,0.57,0.63,1.0,0.0,0.82,0.72,0.71,0.87,0.63,0.85,0.75
emite.csv,0.82,0.94,0.8,0.86,0.82,0.99,0.83,0.84,0.87,0.81,0.04,0.7,0.88
geogebra.csv,0.96,0.79,0.9,0.94,0.93,0.91,0.94,0.94,0.75,0.88,0.9,0.07,0.86
hibernate.csv,0.75,0.82,0.74,0.66,0.66,0.78,0.84,0.67,0.79,0.06,0.98,0.64,0.67
lamp.csv,0.99,0.01,0.84,0.8,0.81,0.84,0.89,0.96,0.74,0.88,0.97,0.71,0.9
nodal.csv,0.96,0.56,0.73,0.7,0.6,0.83,0.81,0.83,0.09,0.66,0.64,0.66,1.06
retromenu.csv,0.51,0.86,0.67,0.7,0.1,0.8,0.78,0.8,0.71,0.75,0.94,0.49,0.94
smbopensoft.csv,0.06,0.59,0.63,0.78,0.54,0.81,0.76,0.8,0.58,0.7,0.85,0.52,0.72
stuproa-cims.csv,0.99,0.66,0.8,0.62,0.78,0.69,0.78,0.02,0.76,0.62,0.79,0.69,0.81
thout.csv,0.95,0.79,0.09,0.84,0.8,0.89,0.73,0.72,0.59,0.85,0.75,0.72,0.95
uface.csv,1.0,1.0,0.92,0.62,0.84,0.82,0.95,0.76,0.87,0.71,0.62,0.87,0.02
