,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.8,0.6,0.39,0.49,0.66,0.46,0.4,0.54,0.42,0.1,1.0,0.13,0.91,0.31
awemud.csv,0.99,0.3,0.38,0.54,0.62,0.47,0.52,0.48,0.58,0.1,0.63,0.24,0.97,0.39
buddata-ebxml-registry.csv,0.72,0.32,0.29,0.48,0.6,0.4,0.39,0.39,0.51,0.09,0.52,0.18,1.0,0.22
cornerstone.csv,0.79,0.3,0.44,0.55,0.69,0.59,0.49,0.76,0.98,0.13,0.57,0.22,1.0,0.34
firebreath.csv,0.79,0.27,0.0,0.45,0.64,0.4,1.0,0.36,0.49,0.12,0.45,0.18,0.94,0.25
lsb.csv,0.82,0.98,0.3,0.61,0.65,0.52,0.42,0.62,0.52,0.12,0.62,0.2,0.95,0.3
maya-work-in-progress.csv,0.8,0.18,0.45,0.57,0.64,0.51,0.49,1.0,0.57,0.08,0.69,0.21,0.95,0.31
mia.csv,0.83,0.3,0.0,0.43,0.7,0.43,1.0,0.36,0.53,1.0,0.3,0.19,0.92,0.22
open-beos.csv,0.74,0.31,0.88,0.67,0.7,1.0,0.44,0.47,0.53,0.11,0.54,0.27,0.94,0.29
qgis.csv,0.79,0.29,0.33,0.99,0.61,0.5,0.49,0.8,0.62,0.08,0.48,0.33,0.97,0.21
rocrail.csv,1.0,0.0,0.0,0.74,0.5,0.4,0.7,1.0,0.67,0.22,0.67,1.0,1.0,1.0
rtb-team.csv,0.84,0.25,1.0,0.7,0.63,0.54,0.45,0.91,0.56,0.11,0.65,0.31,0.92,0.45
tradelink.csv,1.0,0.19,0.0,0.74,0.57,0.73,0.5,0.0,0.5,0.14,1.0,1.0,1.0,0.56
upp-mirror.csv,0.8,0.22,0.22,0.69,0.98,0.47,0.38,0.54,0.6,0.13,0.54,0.19,1.0,0.31
