,nsis.csv,arsenal-1.csv,jbpm.csv,neodatis-odb.csv,mediate.csv,aztec.csv,mycila.csv,rodin-b-sharp.csv
arsenal-1.csv,0.0,0.68,0.29,0.22,0.0,0.0,0.12,0.06
aztec.csv,0.19,0.63,0.2,0.5,0.45,0.82,0.32,0.17
jbpm.csv,0.0,0.7,0.8,0.13,0.0,0.0,0.12,0.04
mediate.csv,0.2,0.18,0.65,0.51,0.68,0.0,0.59,0.23
mycila.csv,0.0,0.24,0.37,0.4,0.41,0.0,0.81,0.7
neodatis-odb.csv,0.38,0.22,0.55,0.71,0.69,0.1,0.54,0.41
nsis.csv,0.7,0.45,0.6,0.55,0.27,0.09,0.39,0.71
rodin-b-sharp.csv,0.52,0.0,0.02,0.0,0.26,0.27,0.12,0.83
