,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.66,0.07,0.54,0.48,0.51,0.78,0.56,0.64,0.89,0.77,0.87,0.74,0.58,0.68
biopax.csv,0.48,0.62,1.0,0.8,0.49,0.64,0.79,0.72,0.66,0.74,0.74,0.67,0.89,0.07
gnupdate.csv,0.54,0.56,0.72,0.54,0.55,0.75,0.0,0.91,0.81,0.67,0.9,0.51,0.51,0.83
les-indemodables.csv,0.7,0.68,0.47,0.53,0.54,0.83,0.71,0.83,0.72,0.44,0.69,0.14,0.67,0.69
openxava.csv,0.85,0.82,0.0,0.78,0.69,0.91,0.9,0.62,0.89,0.54,0.74,0.7,0.65,0.81
ppcboot.csv,0.54,0.67,0.71,0.57,0.65,0.02,0.68,0.83,0.57,0.77,0.73,0.59,0.76,0.68
repositorium.csv,0.8,0.69,0.6,0.72,0.94,0.92,0.84,0.18,0.88,0.97,0.77,0.93,0.93,0.94
rsyslog.csv,0.04,0.7,0.36,0.54,0.51,0.67,0.71,0.56,0.72,0.44,0.64,0.6,0.63,0.93
simplewebservices.csv,0.63,0.61,0.72,0.75,0.9,0.78,0.55,0.64,0.72,0.45,0.68,0.66,0.0,0.88
ultimairis.csv,0.54,0.9,0.88,0.84,0.73,0.61,0.59,0.42,0.06,0.77,0.87,0.62,0.75,0.81
vars-redux.csv,0.66,0.72,0.31,0.0,0.76,0.93,0.75,0.91,0.94,0.67,0.87,0.87,0.81,0.76
wow-qrsk.csv,0.63,0.77,0.87,0.76,0.04,0.7,0.61,1.0,0.77,0.54,0.96,0.87,0.63,0.63
wxstudio.csv,0.88,0.73,0.57,0.73,0.77,0.86,0.81,0.8,0.84,1.04,0.02,0.96,0.71,1.01
xqilla.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
